Ensembl gene ID	Previous symbol	Alias symbol	Approved symbol
ENSG00000121410			A1BG
ENSG00000268895	NCRNA00181	FLJ23569	A1BG-AS1
ENSG00000268895	A1BGAS	FLJ23569	A1BG-AS1
ENSG00000268895	A1BG-AS	FLJ23569	A1BG-AS1
ENSG00000148584		ACF	A1CF
ENSG00000148584		ASP	A1CF
ENSG00000148584		ACF64	A1CF
ENSG00000148584		ACF65	A1CF
ENSG00000148584		APOBEC1CF	A1CF
ENSG00000175899		FWP007	A2M
ENSG00000175899		S863-7	A2M
ENSG00000175899		CPAMD5	A2M
ENSG00000245105			A2M-AS1
ENSG00000166535	CPAMD9	FLJ25179	A2ML1
ENSG00000166535	CPAMD9	p170	A2ML1
ENSG00000256661			A2ML1-AS1
ENSG00000256904			A2ML1-AS2
ENSG00000256069	A2MP		A2MP1
ENSG00000184389	A3GALT2P	IGBS3S	A3GALT2
ENSG00000184389	A3GALT2P	IGB3S	A3GALT2
ENSG00000128274	P1	A14GALT	A4GALT
ENSG00000128274	P1	Gb3S	A4GALT
ENSG00000128274	P1	P(k)	A4GALT
ENSG00000118017		alpha4GnT	A4GNT
			A12M1
			A12M2
			A12M3
			A12M4
ENSG00000094914			AAAS
			AABT
ENSG00000081760		FLJ12389	AACS
ENSG00000081760		SUR-5	AACS
ENSG00000081760		ACSF1	AACS
ENSG00000250420	AACSL		AACSP1
ENSG00000114771		DAC	AADAC
ENSG00000114771		CES5A1	AADAC
ENSG00000197953		MGC72001	AADACL2
ENSG00000242908			AADACL2-AS1
ENSG00000188984		OTTHUMG00000001887	AADACL3
ENSG00000204518		OTTHUMG00000001889	AADACL4
ENSG00000240602			AADACP1
ENSG00000109576		KATII	AADAT
ENSG00000109576		KAT2	AADAT
ENSG00000109576		KYAT2	AADAT
ENSG00000103591		FLJ11506	AAGAB
ENSG00000103591		p34	AAGAB
ENSG00000115977		KIAA1048	AAK1
ENSG00000115977		DKFZp686K16132	AAK1
ENSG00000087884	C11orf67	PTD015	AAMDC
ENSG00000087884	C11orf67	FLJ21035	AAMDC
ENSG00000087884	C11orf67	CK067	AAMDC
ENSG00000127837			AAMP
ENSG00000129673		SNAT	AANAT
ENSG00000131043	C20orf4	bA234K24.2	AAR2
ENSG00000205002	C8orf85	LOC441376	AARD
ENSG00000090861	AARS	CMT2N	AARS1
ENSG00000090861	AARS	AlaRS	AARS1
ENSG00000249038	AARSP1		AARS1P1
ENSG00000124608	AARSL	KIAA1270	AARS2
ENSG00000124608	AARSL	bA444E17.1	AARS2
ENSG00000266967		MGC2744	AARSD1
ENSG00000266967		AlaXp	AARSD1
ENSG00000234969			AARSD1P1
ENSG00000157426		NRPS998	AASDH
ENSG00000157426		LYS2	AASDH
ENSG00000157426		ACSF4	AASDH
ENSG00000149313		LYS5	AASDHPPT
ENSG00000149313		CGI-80	AASDHPPT
ENSG00000149313		AASD-PPT	AASDHPPT
ENSG00000149313		ACPS	AASDHPPT
ENSG00000008311		LORSDH	AASS
ENSG00000008311		LKRSDH	AASS
ENSG00000215458			AATBC
ENSG00000275700		DED	AATF
ENSG00000275700		CHE-1	AATF
ENSG00000275700		CHE1	AATF
ENSG00000275700		BFR2	AATF
ENSG00000181409		AATYK	AATK
ENSG00000181409		KIAA0641	AATK
ENSG00000181409		LMTK1	AATK
ENSG00000181409		LMR1	AATK
ENSG00000181409		AATYK1	AATK
ENSG00000181409		PPP1R77	AATK
		AAV	AAVS1
ENSG00000281376		INXS	ABALON
ENSG00000183044		GABAT	ABAT
ENSG00000183044		GABA-T	ABAT
ENSG00000165029	ABC1	TGD	ABCA1
ENSG00000165029	HDLDT1	TGD	ABCA1
ENSG00000107331	ABC2		ABCA2
ENSG00000167972	ABC3	ABC-C	ABCA3
ENSG00000167972	ABC3	EST111653	ABCA3
ENSG00000167972	ABC3	LBM180	ABCA3
ENSG00000198691	STGD1	FFM	ABCA4
ENSG00000198691	ABCR	FFM	ABCA4
ENSG00000198691	RP19	FFM	ABCA4
ENSG00000198691	STGD	FFM	ABCA4
ENSG00000198691	STGD1	ARMD2	ABCA4
ENSG00000198691	ABCR	ARMD2	ABCA4
ENSG00000198691	RP19	ARMD2	ABCA4
ENSG00000198691	STGD	ARMD2	ABCA4
ENSG00000198691	STGD1	CORD3	ABCA4
ENSG00000198691	ABCR	CORD3	ABCA4
ENSG00000198691	RP19	CORD3	ABCA4
