Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000268852	-	-	
ENSG00000268854	-	-	
ENSG00000268856	-	-	
ENSG00000268857	-	-	
ENSG00000268858	LOC112268269	-	
ENSG00000268861	-	-	
ENSG00000268863	-	-	
ENSG00000268864	LOC284379	-	
ENSG00000268865	-	-	
ENSG00000268866	-	-	
ENSG00000268869	-	-	
ENSG00000268870	-	-	
ENSG00000268873	-	-	
ENSG00000268879	-	-	
ENSG00000268882	-	-	
ENSG00000268884	-	-	
ENSG00000268885	-	-	
ENSG00000268886	-	-	
ENSG00000268889	-	-	
ENSG00000268891	-	-	
ENSG00000268892	-	-	
ENSG00000268894	-	-	
ENSG00000268895	A1BG-AS1	A1BGAS; NCRNA00181; A1BG-AS	
ENSG00000268896	-	-	
ENSG00000268898	-	-	
ENSG00000268903	-	-	
ENSG00000268906	-	-	
ENSG00000268908	-	-	
ENSG00000268912	-	-	
ENSG00000268913	-	-	
ENSG00000268922	-	-	
ENSG00000268923	-	-	
ENSG00000268925	-	-	
ENSG00000268926	-	-	
ENSG00000268927	-	-	
ENSG00000268931	-	-	
ENSG00000268936	-	-	
ENSG00000268938	-	-	
ENSG00000268941	LINC01711	-	
ENSG00000268942	-	-	
ENSG00000268945	-	-	
ENSG00000268947	-	-	
ENSG00000268948	-	-	
ENSG00000268949	-	-	
ENSG00000268950	-	-	
ENSG00000268951	-	-	
ENSG00000268953	-	-	
ENSG00000268955	-	-	
ENSG00000268957	-	-	
ENSG00000268960	-	-	
ENSG00000268964	ERVV-2	ENVV2; HERV-V2	
ENSG00000268965	-	-	
ENSG00000268967	-	-	
ENSG00000268970	-	-	
ENSG00000268975	-	-	
ENSG00000268977	-	-	
ENSG00000268981	-	-	
ENSG00000268983	-	-	
ENSG00000268985	-	-	
ENSG00000268987	-	-	
ENSG00000268991	-	-	
ENSG00000268992	-	-	
ENSG00000268993	-	-	
ENSG00000268995	-	-	
ENSG00000268996	MAN1B1-DT	MAN1B1-AS1	
ENSG00000268997	-	-	
ENSG00000269000	-	-	
ENSG00000269001	-	-	
ENSG00000269009	-	-	
ENSG00000269011	-	-	
ENSG00000269012	-	-	
ENSG00000269014	-	-	
ENSG00000269018	-	-	
ENSG00000269019	-	-	
ENSG00000269021	-	-	
ENSG00000269025	-	-	
ENSG00000269026	-	-	
ENSG00000269027	-	-	
ENSG00000269028	MTRNR2L2	HN2	
ENSG00000269032	-	-	
ENSG00000269035	-	-	
ENSG00000269037	LINC01838	-	
ENSG00000269038	-	-	
ENSG00000269040	-	-	
ENSG00000269042	-	-	
ENSG00000269043	-	-	
ENSG00000269044	-	-	
ENSG00000269047	-	-	
ENSG00000269048	-	-	
ENSG00000269049	-	-	
ENSG00000269050	-	-	
ENSG00000269051	-	-	
ENSG00000269053	-	-	
ENSG00000269054	-	-	
ENSG00000269055	-	-	
ENSG00000269058	CALR3	CRT2; CT93; CMH19	
ENSG00000269064	-	-	
ENSG00000269066	-	-	
ENSG00000269067	ZNF728	-	
ENSG00000269068	-	-	
ENSG00000269069	-	-	
ENSG00000269071	-	-	
ENSG00000269072	LOC101928517	-	
ENSG00000269074	-	-	
ENSG00000269082	-	-	
ENSG00000269084	-	-	
ENSG00000269085	-	-	
ENSG00000269086	-	-	
ENSG00000269089	-	-	
ENSG00000269091	-	-	
ENSG00000269093	-	-	
ENSG00000269094	-	-	
ENSG00000269095	-	-	
ENSG00000269097	-	-	
ENSG00000269099	-	-	
ENSG00000269102	-	-	
ENSG00000269103	-	-	
ENSG00000269104	-	-	
ENSG00000269106	-	-	
ENSG00000269107	-	-	
ENSG00000269110	-	-	
ENSG00000269113	TRABD2B	TIKI2	
ENSG00000269117	-	-	
ENSG00000269118	-	-	
