Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
LIB-04579,0.0666698471737908,0.0637563447248648,0.2337062379105,0.206922915706959,0,0.0425241909544117,0.00605403824899927,0.182854394074321,0.00653460453997043,0,0,0.0984395907170167,0.0163530377406199,0.0320561101851668,0.133896396066504,0.371591734785848,0,0.00448187841356626,0.0717346937339525,0.00924161437779091,0,0.0288479997387384,0,0.450160441977763,0.89216699350884,1.57566562909302
LIB-03316,0,0.147313560533985,0.226020365623105,0.197273350638989,0,0,0,0.163507887835353,0.045966191653678,0,0,0.163734376290802,0.0248193529810463,0.324666761858945,0.0475230768234796,0.345556507909379,0,0,0.0203670929728044,0.0424371946949781,0,0.0160957449225232,0,0.361587500000607,0.935454364662156,1.76528146473907
LIB-008191,0.0311201986405428,0.104862529443076,0.198292859288596,0.196723198208287,0,0.0429190263218978,0.0703849639428193,0.211286709864192,0.0183651818229514,0,0,0.15079913438307,0.0310145831764142,0.223282540007951,0.150391128406252,0.315734723464187,0,0.0807283900122676,0,0.114750405653771,0,0.00411477489625898,0,0.387729077898403,0.921223852512,1.94477034753253
LIB-03323,0,0.184237454240077,0.131939502767945,0.349958755189102,0,0,0.0105215246969638,0.274092212504514,0.0447457262464055,0,0,0.286227079809141,0.106685634327711,0,0.182367960377787,0.539903261096162,0.036018877268365,0,0.091714405036796,0,0,0.00423582223519512,0,0.429841030432987,0.902103941678225,2.24264821579616
LIB-04651,0,0.0896571258397171,0.0287160875247805,0.112144856532753,0.0227605573292317,0.00596162856100107,0,0.123693964374293,0.00524632756522053,0,0,0.0865810345479743,0.0295359320328807,0,0.01985921884085,0.313035663128702,0.0469449276459607,0.0249632624680773,0.320488056207528,0,0,0.0198129213439445,0,0.575805290337093,0.836323513675787,1.24940156394291
LIB-008187,0.0131745793039335,0.0108633349901422,0.0642304957886022,0.0474852009749796,0,0.0411555042881187,0.00285928712934752,0.0963428849112363,0.00642108036771528,0,0.00548574985724944,0.0457713193824388,0.0392742015495106,0.0199179476896614,0.0581246840529188,0.217176551760446,0,0.0800418598595128,0,0.358894916996422,0,0.0824470594182612,0,0.536479512984849,0.848290797013443,1.1896666583205
LIB-03335,0.0256543699617892,0.0235418073821859,0.0557519069835497,0.0868712916959193,0,0.0837759142553602,0,0.0884182147167225,0.0322841737430785,0,0,0.0766718471024812,0.00548204164668031,0.0502134730072036,0.0631075611772889,0.384322518027727,0,0,0.0853837623868691,0,0,0.00218811225715799,0,0.708238926130206,0.768656027806717,1.06366699434401
LIB-04598,0.0197290916937744,0.0696911290423805,0.0932672835295955,0.203946895832957,0,0.0244484931100337,0,0.126756920847978,0.00327474807072986,0.0125260370978652,0,0.0684097178347739,0.0254185062851065,0,0.0508009120993717,0.407070041287774,0.0110488658440221,0,0.206358192036475,0,0,0.0245682058014051,0,0.609042694944002,0.821777776211367,1.34731504041424
LIB-04647,0.0302248153830972,0.0976872461986824,0.112660758023538,0.281075155120812,0,0,0,0.214241805249761,0.0894712824199211,0,0,0.128886127289306,0.0106922937141466,0.0155746555986337,0.060872594801647,0.235464706259754,0.0291571086448986,0.0177602115560314,0.0573645023709903,0,0,0.0104742605462983,0,0.460649422944731,0.886898616454902,1.39160752317752
LIB-04617,0.0519579401026806,0.0895822558761884,0.0679262646682203,0.100219613865992,0.057144746132976,0.0930740822356049,0.013446609113117,0.0253284733338935,0,0.0130768716509789,0.0886575793673688,0.034671669526573,0.0746349756511551,0,0.0240716959223675,0.371443760623389,0,0.0400166582099118,0.0851423884949273,0,0,0.0708521031261592,0,0.665264546333937,0.794675818340214,1.3012476879015
