"cell_type","LIB.04579","LIB.03316","LIB.008191","LIB.03323","LIB.04651","LIB.008187","LIB.03335","LIB.04598","LIB.04647","LIB.04617","LIB.008204","LIB.006810","LIB.008203","LIB.04625","LIB.04610","LIB.04606","LIB.03332","LIB.008177","LIB.008180","LIB.03324","LIB.04611","LIB.007617","LIB.006811","LIB.007622","LIB.04624","LIB.008202","LIB.006807","LIB.008181","LIB.03333","LIB.04592","LIB.008197","LIB.04584","LIB.03325","LIB.04657","LIB.03329","LIB.03322","LIB.04650","LIB.03317","LIB.008190","LIB.03334","LIB.008186","LIB.008205","LIB.04605","LIB.006805","LIB.04613","LIB.007619","LIB.007620","LIB.008200","LIB.008199","LIB.008195","LIB.03327","LIB.04586","LIB.04659","LIB.04655","LIB.008183","LIB.03331","LIB.008178","LIB.04643","LIB.04648","LIB.04644","LIB.008184","LIB.03320","LIB.04581","LIB.04652","LIB.03319","LIB.008192","LIB.006814","LIB.04614","LIB.04618","LIB.008189","LIB.008185","LIB.04649","LIB.04645","LIB.03318","LIB.008193","LIB.03321","LIB.04580","LIB.04653","LIB.04615","LIB.006815","LIB.006803","LIB.006804","LIB.007621","LIB.04627","LIB.008201","LIB.007618","LIB.03326","LIB.04658","LIB.04654","LIB.008198","LIB.008194","LIB.04591","LIB.03330","LIB.008179","LIB.04642","LIB.008182"
"T cell",6.176,8.35733333333333,5.76266666666667,11.8273333333333,7.59666666666667,2.80333333333333,4.24466666666667,8.822,9.408,5.63333333333333,5.944,2.366,3.69866666666667,5.022,3.294,4.56933333333333,5.85333333333333,3.96533333333333,4.84866666666667,11.138,3.64666666666667,4.202,3.80066666666667,7.15066666666667,12.126,2.092,7.49066666666667,4.54,4.09933333333333,2.06466666666667,6.51533333333333,2.44533333333333,5.42466666666667,3.53333333333333,16.3066666666667,11.314,9.666,7.198,1.974,5.664,4.32466666666667,7.18333333333333,1.49866666666667,2.30266666666667,6.26133333333333,5.18533333333333,6.474,10.6933333333333,2.762,1.448,5.72933333333333,3.07333333333333,3.27533333333333,10.6173333333333,2.91066666666667,10.5393333333333,1.064,6.27333333333333,5.02666666666667,2.73133333333333,5.43533333333333,5.31933333333333,5.66933333333333,3.29,8.24733333333333,3.69466666666667,7.48666666666667,1.60733333333333,6.00266666666667,3.62933333333333,2.38733333333333,5.858,7.268,9.38066666666667,5.61733333333333,1.56933333333333,6.31933333333333,2.31666666666667,4.68866666666667,4.186,3.384,6.04466666666667,6.87866666666667,7.14733333333333,5.358,6.26066666666667,9.534,18.3073333333333,10.368,6.22933333333333,1.602,11.438,10.9486666666667,2.94133333333333,11.942,7.21133333333333
"T cell CD8+",4.67,1.35,7.67,6.49,1.82,1.7,2.27,12.32,7.21,8.5,5.23,0.11,6.27,2.35,0.44,1.68,2.2,6.16,2.82,4.38,1.11,0.18,2.37,6.56,7.04,1.99,0.62,2.72,0.74,0.72,10.15,0.39,0.22,0.62,10,0.91,10.35,1.53,1.28,4.86,3.2,9.98,0.69,1.23,2.24,3.03,7.34,19.55,3.07,2.48,3.85,1.94,0.55,6.29,14.02,3.76,0.48,3.15,3.25,2.3,5.78,0.55,10.06,4.69,3.04,1.62,3.65,1.26,5.24,3.63,2.26,2.15,2.88,2.29,36.4,0.65,17.03,0.31,0.76,3.32,0.5,0.85,35.19,2.93,9.46,7.19,2.44,0.5,8.19,2.78,0.29,10.6,2.31,0.69,2.64,7.88
"cytotoxicity score",4.34714285714286,3.35571428571429,7.5,11.0728571428571,2.53714285714286,1.86714285714286,2.62428571428571,7.08571428571429,5.06142857142857,11.8342857142857,11.6557142857143,7.51285714285714,6.03428571428571,4.45571428571429,0.327142857142857,1.70857142857143,3.51714285714286,3.83,3.70571428571429,10.5085714285714,1.74857142857143,1.72142857142857,4.57142857142857,7.06,11.75,1.85428571428571,19.8042857142857,4.63142857142857,0.832857142857143,0.944285714285714,6.47571428571429,1.01142857142857,1.35714285714286,0.734285714285714,12.1057142857143,1.94571428571429,14.5942857142857,2.86428571428571,1.36857142857143,5.08857142857143,2.58714285714286,4.58714285714286,2.04142857142857,1.6,2.07857142857143,3.58285714285714,5.64,14.4714285714286,2.87714285714286,1.25428571428571,5.35428571428571,1.72857142857143,1.76857142857143,6.70428571428571,4.04428571428571,3.45,0.601428571428571,3.42,1.29571428571429,2.48428571428571,20.9671428571429,4.67285714285714,6.17142857142857,2.61142857142857,2.97285714285714,2.01,3.67571428571429,2.76857142857143,4.08142857142857,4.63285714285714,3.56142857142857,4.02,3.72857142857143,11.4328571428571,5.56714285714286,0.711428571428571,3.69714285714286,0.925714285714286,1.06857142857143,1.83285714285714,1.30857142857143,3.86,3.93571428571429,2.34428571428571,12.8228571428571,5.19571428571429,6.19857142857143,0.84,5.92428571428571,6.77,0.757142857142857,6.75285714285714,0.754285714285714,1.15714285714286,4.80285714285714,4.50857142857143
"NK cell",0.29875,0.29625,0.40625,0.40625,0.425,0.36375,0.1575,0.325,0.16,0.7675,0.395,0.2225,0.28625,0.32375,0.1075,0.28,0.3925,0.21,0.26625,0.79375,0.1925,0.17375,0.48,0.3575,0.8275,0.3125,0.5475,0.20875,0.19875,0.14125,0.24875,0.1025,0.22,0.1325,0.75,0.155,0.51125,0.3725,0.11,0.3175,0.31375,0.32875,0.15625,0.125,0.26875,0.13875,0.585,0.38375,0.12125,0.1125,0.35625,0.09,0.2275,0.34375,0.28875,0.37875,0.02875,0.1475,0.305,0.30375,1.20875,0.26875,0.51875,0.27375,0.34625,0.235,0.30375,0.20625,0.08375,0.1925,0.2875,0.23875,0.11375,0.3975,0.0875,0.125,0.31375,0.19125,0.1275,0.13125,0.1075,0.1625,0.2775,0.265,0.72875,0.0825,0.1925,0.0875,0.4925,0.5225,0.24875,0.34125,0.215,0.0975,0.185,0.2525
"B cell",1083.31555555556,2306.33333333333,1639.43111111111,1080.20111111111,10.3688888888889,70.1522222222222,67.1433333333333,196.336666666667,468.131111111111,106.243333333333,2096.36444444444,342.132222222222,229.595555555556,16.0388888888889,140.918888888889,422.891111111111,1499.62555555556,102.773333333333,727.675555555556,1303.61333333333,25.8233333333333,41.1944444444444,415.071111111111,210.925555555556,2597.74555555556,349.325555555556,520.59,672.225555555556,3.66222222222222,16.6955555555556,884.725555555556,81.8822222222222,83.6844444444445,303.84,1570.43,181.178888888889,1894.82222222222,335.903333333333,510.54,8460.14777777778,9724.18888888889,1069.71888888889,136.447777777778,16.2411111111111,1646.87555555556,1797.04444444444,347.578888888889,9277.68666666667,107.028888888889,343.467777777778,378.204444444444,95.9,65.9466666666667,285.94,167.21,133.993333333333,97.2488888888889,103.548888888889,341.878888888889,270.685555555556,142.167777777778,1247.74555555556,784.055555555556,668.111111111111,359.143333333333,12.2933333333333,822.787777777778,92.4988888888889,207.94,364.341111111111,50.4144444444444,583.014444444445,6.10333333333333,17.5244444444444,11.1555555555556,90.5877777777778,482.412222222222,294.828888888889,286.872222222222,332.616666666667,10.5322222222222,85.1477777777778,90.4888888888889,1374.04333333333,2701.66222222222,217.56,18.3322222222222,4.85222222222222,481.567777777778,60.8888888888889,7.88222222222222,130.174444444444,110.166666666667,57.1822222222222,821.59,4214.30111111111
"Monocyte",12.8142857142857,8.78857142857143,43.0228571428571,49.2385714285714,9.41285714285714,5.43714285714286,14.1371428571429,11.8328571428571,8.51142857142857,8.26857142857143,8.62,23.0471428571429,8.61285714285714,18.6014285714286,3.01428571428571,6.72428571428571,42.3928571428571,12.0157142857143,9.62714285714286,17.7685714285714,11.6214285714286,6.68,7.66285714285714,15.9771428571429,47.2842857142857,9.81142857142857,16.0642857142857,10.6857142857143,6.96142857142857,4.37571428571429,7.56142857142857,10.2742857142857,7.32857142857143,4.91,72.9828571428571,7.45142857142857,27.6314285714286,12.13,5.64,17.0457142857143,9.2,10.2785714285714,6.83857142857143,6.06285714285714,15.99,9.13714285714286,35.6657142857143,17.6185714285714,15.1985714285714,2.28142857142857,15.9485714285714,10.5228571428571,14.32,18.2814285714286,10.27,19.1371428571429,2.80428571428571,11.5442857142857,4.71571428571429,4.59428571428571,15.1728571428571,10.0971428571429,13.1414285714286,10.5357142857143,19.4814285714286,14.53,14.4814285714286,9.24285714285714,14.0085714285714,10.5842857142857,34.3214285714286,5.81857142857143,5.63857142857143,12.9142857142857,5.90285714285714,4.04142857142857,22.1271428571429,2.57857142857143,10.51,7.64142857142857,9.64,12.7985714285714,17.3228571428571,13.2942857142857,10.8728571428571,9.65142857142857,29.2685714285714,4.99,10.3757142857143,7.48857142857143,3.79285714285714,21.43,2.65714285714286,6.92428571428571,12.07,19.2428571428571
"Macrophage/Monocyte",12.8142857142857,8.78857142857143,43.0228571428571,49.2385714285714,9.41285714285714,5.43714285714286,14.1371428571429,11.8328571428571,8.51142857142857,8.26857142857143,8.62,23.0471428571429,8.61285714285714,18.6014285714286,3.01428571428571,6.72428571428571,42.3928571428571,12.0157142857143,9.62714285714286,17.7685714285714,11.6214285714286,6.68,7.66285714285714,15.9771428571429,47.2842857142857,9.81142857142857,16.0642857142857,10.6857142857143,6.96142857142857,4.37571428571429,7.56142857142857,10.2742857142857,7.32857142857143,4.91,72.9828571428571,7.45142857142857,27.6314285714286,12.13,5.64,17.0457142857143,9.2,10.2785714285714,6.83857142857143,6.06285714285714,15.99,9.13714285714286,35.6657142857143,17.6185714285714,15.1985714285714,2.28142857142857,15.9485714285714,10.5228571428571,14.32,18.2814285714286,10.27,19.1371428571429,2.80428571428571,11.5442857142857,4.71571428571429,4.59428571428571,15.1728571428571,10.0971428571429,13.1414285714286,10.5357142857143,19.4814285714286,14.53,14.4814285714286,9.24285714285714,14.0085714285714,10.5842857142857,34.3214285714286,5.81857142857143,5.63857142857143,12.9142857142857,5.90285714285714,4.04142857142857,22.1271428571429,2.57857142857143,10.51,7.64142857142857,9.64,12.7985714285714,17.3228571428571,13.2942857142857,10.8728571428571,9.65142857142857,29.2685714285714,4.99,10.3757142857143,7.48857142857143,3.79285714285714,21.43,2.65714285714286,6.92428571428571,12.07,19.2428571428571
"Myeloid dendritic cell",2.20833333333333,11.5916666666667,15.9366666666667,4.915,17.4766666666667,1.24,3.85666666666667,1.05166666666667,9.73666666666667,4.00833333333333,3.26666666666667,3.11166666666667,12.2183333333333,1.46833333333333,0.598333333333333,1.77333333333333,22.22,7.44,2.505,1.38166666666667,1.47,2.625,2.3,4.13833333333333,8.665,1.11666666666667,0.851666666666667,2.96833333333333,0.433333333333333,0.873333333333333,3.29,3.965,5.125,4.23666666666667,17.825,0.576666666666667,6.89333333333333,4.41333333333333,0.725,1.695,1.88,3.45833333333333,1.29666666666667,1.17833333333333,1.56166666666667,27.5316666666667,16.1216666666667,4.59166666666667,4.46166666666667,0.955,1.78333333333333,1.535,0.74,4.35333333333333,2.38333333333333,7.46333333333333,0.345,1.665,22.3366666666667,0.636666666666667,3.05333333333333,1.80166666666667,2.64166666666667,2.53666666666667,5.00333333333333,9.695,4.775,0.62,2.29333333333333,1.92333333333333,3.005,2.12833333333333,16.0266666666667,0.985,1.715,0.81,1.5,2.025,1.5,2.71666666666667,0.875,1.905,2.30166666666667,2.005,4.27,2.265,25.825,0.153333333333333,5.26166666666667,7.655,0.44,5.5,0.401666666666667,2.23333333333333,5.205,4.27333333333333
"Neutrophil",5.364,8.65333333333333,2.30933333333333,4.71933333333333,11.1126666666667,5.67733333333333,4.76466666666667,4.50733333333333,4.28666666666667,18.3853333333333,7.16533333333333,13.2833333333333,8.48266666666667,7.15533333333333,6.07133333333333,5.436,12.084,4.802,7.00933333333333,8.04666666666667,4.54466666666667,10.7073333333333,6.39533333333333,4.632,13.0586666666667,2.34533333333333,12.796,8.412,10.8653333333333,2.35466666666667,3.01733333333333,3.098,13.6826666666667,5.41,9.05866666666667,7.88,8.29866666666667,8.48266666666667,6.13866666666667,6.32333333333333,2.92,2.41,4.72533333333333,5.80133333333333,3.23,7.00066666666667,11.8553333333333,4.85066666666667,4.89533333333333,1.32533333333333,6.746,4.392,5.20533333333333,5.752,6.95866666666667,11.814,1.64266666666667,4.734,6.91333333333333,2.608,18.0513333333333,7.62866666666667,4.56,4.54533333333333,13.1893333333333,5.774,3.63,12.4526666666667,15.2353333333333,5.72933333333333,5.92533333333333,5.21,10.1613333333333,7.31733333333333,5.40933333333333,16.2573333333333,3.872,8.10066666666667,4.28866666666667,4.07733333333333,15.3153333333333,5.09933333333333,7.33866666666667,7.16666666666667,9.70733333333333,3.712,6.314,5.94533333333333,6.64,19.114,4.70866666666667,7.15933333333333,6.87933333333333,3.724,4.14,4.96333333333333
"Endothelial cell",2.71757575757576,4.99454545454545,2.86727272727273,6.78515151515152,4.69909090909091,4.67606060606061,9.65272727272727,13.0339393939394,3.34242424242424,22.9063636363636,11.8587878787879,3.22242424242424,7.29515151515151,7.02757575757576,1.67060606060606,9.08939393939394,7.21181818181818,13.7851515151515,8.24636363636364,13.0015151515152,4.16636363636364,4.55484848484848,15.0469696969697,4.30969696969697,16.9963636363636,3.7869696969697,14.1142424242424,9.02363636363636,6.59272727272727,2.38909090909091,3.62575757575758,5.6369696969697,5.51878787878788,7.28424242424242,13.4663636363636,5.09393939393939,5.01787878787879,18.0366666666667,2.54636363636364,3.05727272727273,3.35151515151515,6.46181818181818,2.54878787878788,4.94606060606061,6.09757575757576,3.7169696969697,8.20121212121212,4.66181818181818,3.28424242424242,2.02727272727273,7.85121212121212,3.37878787878788,6.22060606060606,5.94151515151515,9.56545454545454,11.8660606060606,1.54151515151515,8.94575757575758,2.71909090909091,3.47030303030303,6.14969696969697,12.2072727272727,3.7869696969697,4.77484848484848,8.20545454545455,4.17575757575758,6.56424242424242,5.75909090909091,11.169696969697,4.07212121212121,13.0060606060606,6.56878787878788,4.71757575757576,26.3848484848485,7.35515151515152,6.05060606060606,3.97181818181818,1.99272727272727,3.84272727272727,5.51757575757576,3.71393939393939,7.57393939393939,3.07151515151515,3.62454545454545,12.8657575757576,6.12575757575758,4.96545454545455,3.44939393939394,13.7648484848485,2.55787878787879,1.97818181818182,16.7254545454545,9.88636363636364,3.18848484848485,3.78151515151515,3.70939393939394
