"cell_type","LIB.04579","LIB.03316","LIB.008191","LIB.03323","LIB.04651","LIB.008187","LIB.03335","LIB.04598","LIB.04647","LIB.04617","LIB.008204","LIB.006810","LIB.008203","LIB.04625","LIB.04610","LIB.04606","LIB.03332","LIB.008177","LIB.008180","LIB.03324","LIB.04611","LIB.007617","LIB.006811","LIB.007622","LIB.04624","LIB.008202","LIB.006807","LIB.008181","LIB.03333","LIB.04592","LIB.008197","LIB.04584","LIB.03325","LIB.04657","LIB.03329","LIB.03322","LIB.04650","LIB.03317","LIB.008190","LIB.03334","LIB.008186","LIB.008205","LIB.04605","LIB.006805","LIB.04613","LIB.007619","LIB.007620","LIB.008200","LIB.008199","LIB.008195","LIB.03327","LIB.04586","LIB.04659","LIB.04655","LIB.008183","LIB.03331","LIB.008178","LIB.04643","LIB.04648","LIB.04644","LIB.008184","LIB.03320","LIB.04581","LIB.04652","LIB.03319","LIB.008192","LIB.006814","LIB.04614","LIB.04618","LIB.008189","LIB.008185","LIB.04649","LIB.04645","LIB.03318","LIB.008193","LIB.03321","LIB.04580","LIB.04653","LIB.04615","LIB.006815","LIB.006803","LIB.006804","LIB.007621","LIB.04627","LIB.008201","LIB.007618","LIB.03326","LIB.04658","LIB.04654","LIB.008198","LIB.008194","LIB.04591","LIB.03330","LIB.008179","LIB.04642","LIB.008182"
"B cell",0.0145312037482438,0.0106510980323141,0.0375014438183531,0.035471083452261,0.013976640193404,0.00370847583847224,0.00426023430119995,0.00980447331968978,0.0150195034982015,0.00815808342261816,0.0148140593615566,0.011484807403959,0.00941102939840191,0.00724022171607263,0.0193473384336477,0.00730244358917225,0.018330368311028,0.00806621858692906,0.0106629597150634,0.0143697612304721,0.0086899068151862,0.0138786013906918,0.0149873879900555,0.00775191298181994,0.055507794690763,0.00770676919808358,0.0117495464227229,0.0104702677775074,0.00686413618414524,0.00500900352160979,0.0127731363366569,0.00845336865587206,0,0.00829430645452132,0.0289783069976094,0.0119749089438867,0.0409446827523823,0.0143738691593837,0.00684879772649456,0.0252615858065277,0.0221583403657989,0.0417156118625813,0.00444336428183395,0.0121360766530941,0.0179242009161972,0.00810923457193097,0.00666155776860317,0.0472214255829553,0.0115965694099338,0.00693219376076682,0.00956517228451194,0.0063240559541201,0.0108090837845972,0.0178087932096001,0.00505144419306591,0.0193841504397397,0.0118946978014921,0.0124816497268404,0.00565499515564414,0.00875589146530911,0.0153920961469487,0.0127926680338017,0.0188505581847908,0.0137199726588878,0.0436483782163787,0.0169868997832337,0.0324489719952684,0.0130793122626147,0.0140850784567099,0.0090340583434375,0.00462178592298905,0.0152581246306881,0.00810265659998711,0.00392124106136342,0.00206208220124397,0.00662334990822912,0.0142081949894478,0.00630933962600636,0.0108857058283274,0.00637127931973693,0.0136646873423741,0.0103427721001315,0.00967938060647909,0.0165819902543429,0.010878544802466,0.00776646933935651,0.0197925804047388,0.00888115820941414,0.050521748999864,0.00514882796212172,0.0108287942874537,0.0226507301125743,0.00190882410730239,0.00707867340333235,0.137799064794225,0.0262937133652876
"Macrophage M1",0.0225323591924314,0.0250813814617072,0.0498755063913567,0.03944149646311,0.00339686113611929,0.0355215032508033,0.0235442407385948,0.0127104364954164,0.00562397928379957,0.00156876767597945,0.00673654799941637,0.0378393843476219,0.018883704447281,0.0141770631031456,0.0064451005677143,0.0188033106664829,0.061022267010191,0.0302283014563134,0.0201249314164747,0.014289768121873,0.0247204596897818,0.00608833369554957,0.00247818081160126,0.0172998813648636,0.0607784210337306,0.028263306105695,0.00973877476594286,0.0246156682204064,0.0134775328648022,0.0038556974526274,0.00795026797081605,0.0166228777332276,0.0329936379807894,0.00989758564410236,0.0657739741955482,0,0.0128320218539085,0.00518100734679354,0.0168004533452803,0.0267618878408916,0.0124505805005417,0.00990359195776475,0.0147550535559062,0.00338615320135188,0.0145437630474201,0.0066197092757948,0.0482073684743198,0.0282903827712408,0.0233384684415257,0.00269070687551323,0.0277231989778132,0.00902823778569206,0.0236836602908437,0.0230655276321668,0.00637750581987427,0.0199679077186852,0.00418633494677122,0.0145611613297533,0.00637800825948457,0.00488364294088329,0.017818914102281,0.0105540105275343,0.0102824418213749,0.0138020729359103,0.0171097115986996,0.0125091461957054,0.0193062605587096,0.0107847074307275,0.0247664868538124,0.00554049361349713,0.0402790605531389,0.00365217803266651,0.00945329597533727,0,0.00175677845413409,0.00684871769954646,0.009110132706483,0.00899831753493137,0.0217735407285487,0.0125127567349792,0.00234110697640446,0.00654934657619735,0.0145812662716018,0.00661330452466385,0.00826298629017713,0.0100829242372877,0.0618108810772613,0.000274278885534369,0.00774358622166749,0.0111896534316885,0.00221422585604098,0.0117877345497405,0,0.00434889439349226,0.00817125600619905,0.0487729456462477
"Macrophage M2",0.00998706655468917,0.00970973931483627,0.00305344493968143,0.0342689940684539,0.0264444743276647,0.00454718204502014,0.029032083511342,0.0315730446339933,0.0142939175012426,0.0192007558931823,0.0196596518578436,0.0503165143643525,0.0275968426822468,0.0315602536244287,0.00836499742510674,0.00941137936527751,0.000259794832309228,0.0353472256857193,0.0210421425385722,0.0255202831477098,0.0251427000109643,0.0224023220842049,0.0172400528193344,0.019684042389267,0.0294298759072717,0.0254717626908487,0.0179934757229011,0.0194649941170122,0.0186442265705982,0.00535432829935053,0.02822784368384,0.0162123156239917,0.0190551076176691,0.018792008577178,0.0842774885583536,0,0.024072103636687,0.0247496457436218,0.0149949764437586,0.0401703569167532,0.030475401909561,0.0215034979986144,0.0087662380301551,0.035912980185019,0.0205424100910731,0.0151120288778265,0.0592233965766137,0.0250749795527855,0.0201595409258511,0.00787502919813288,0.0123673679566207,0.0240832096721773,0.0256283341060182,0.0303488418432409,0.0404505650646161,0.0261465645902629,0.00415158950070172,0.0294765758393572,0.00284113974721779,0.00980671542551463,0.0210224916385205,0.0164213422467639,0.0183719243031172,0.0263288689428375,0.0367086058325149,0.0465033195974219,0.0213968749513792,0.0207411794528608,0.0500125198835817,0.0134807531084294,0.0660041801532067,0.0358641283025716,0.0125941865990767,0.0259055629637456,0.0111357681392,0.025976611263063,0.00764563630728691,0.0189765980097823,0.0189034561547148,0.0153063730189836,0.0546632662579407,0.0183318566113009,0.0629942704345359,0.0142607523246599,0.0244037056607582,0.0213555318061192,0,0.0206585933062179,0.0169693497219483,0.00728104453196668,0.0200781948781006,0.028195144612935,0.00558443048474651,0.007706606269068,0.0168396875126992,0.0192047443680475
"Monocyte",0,0.00736416015796617,0.00190951301533471,0.0326025894824308,0.0104716552544064,0,0,0.00331883539029589,0.00793242330429368,0,0.0102542041360999,0.00517214889611988,0,0.018662811154817,0.00509762945070846,0.0198692997185733,0.0994079064047744,0,0,0.0259987583594675,0.00232542190098903,0.0351740588858216,0.0299279127667419,0.0662726971144786,0.00493079930437996,0,0.0694716213210244,0,0.00917396471695821,0.00746162779115621,0,0,0.0400457704416905,0.000864408506945816,0.0130490103591045,0.153387254905936,0.0102870483916958,0.0363163892895161,0,0,0,0,0,0.0218615568331978,0.0118279287551267,0,0,0.00744624269143809,0,0.0015997269316943,2.86293858257561e-05,0,0,0.0199765294271779,0,0.0667448543151979,0.0228681576425709,0,0.00958040238182328,0.00617712271719126,0,0.0220625684655782,0,0,0,0.0256633002144472,0.00137533591809776,0.0291734580137479,0.000789292151035155,0.000187607904478218,0,0.00416973510983443,0.00896525293349941,0.0413589079712311,0,0.00844811836586874,0.00976118847778419,0,0,0.00526533421358302,0.0345450761799641,0.0283913833820247,0.0314914840700587,0.0729092066923857,0,0,0.0539806077418198,0,0.0119024397354465,0,0.00563396253652916,0.0097024803132488,0,0.0258010183731883,0.00629682497139152,0.00614614543759602
"Neutrophil",0.0190052622982773,0.0322180617685072,0.0257502530824733,0.010152479919108,0.0454333178627613,0.0412336958274751,0.0396508496830591,0.0099794909726076,0.0181283575431337,0.0994748395211778,0.0481224447039968,0.0218164921775495,0.0322118511482199,0.0193297398903115,0.0103073700811801,0.0362369681115021,0.0295738304909352,0.0534655901110871,0.0488184354080714,0.0188569509281892,0.014111132543023,0.0178695233304104,0.0265635454144492,0.0623905568982558,0.04345213249928,0.0204192472934227,0,0.052264571333244,0.0165920087014755,0.0092964052996638,0.02375656650698,0.0304128174459531,0.0177182362823548,0.0139893602305509,0.0102577396400671,0,0.0192298514348173,0.0533206316456364,0.0196956719963793,0.00972944443895594,0.00890401163967071,0.0266639661441216,0.0143793680816906,0.00473658296446712,0.00869230722608724,0.0443321723992214,0.0550032612255491,0.0255051011208544,0.0316991817403077,0.00316797293320396,0.0612443029525479,0.027235822062044,0.0262756519701741,0.0263291428484487,0.0240787411950339,0.00499005029040829,0,0.0268097336025981,0.026048653784194,0.0250391612714236,0.0458769050417682,0.0277705281985046,0.0381615643112768,0.009421433011096,0.019215950268215,0.0246822748816196,0.0438718992449166,0.00215087986249108,0.0176913979708338,0.0516662996237546,0.0482277195264674,0.0103804897650612,0.0522220757316584,0.0224642198464926,0.037789744493568,0.0150139345097038,0.0339058773454592,0.0108272793489246,0.0112752962580971,0.0314556016069442,0,0,0.00818926807365303,0,0.0387458113561934,0.00973558567099547,0.00623771034432627,0.0270508151026676,0.0332102393249901,0.0738591184013751,0.00718413356663545,0.0478503429086919,0,0.00780975819117403,0.0052542132185943,0.0314804022157939
"NK cell",0.0105104923862897,0.0123419693159572,0.00813058995644498,0.0145738030704204,0.0173445722494147,0.00414016140943267,0.00855025413407177,0.0109472651679519,0.0116393500356206,0.0125428204997832,0.010419509401655,0.0160044204929868,0.0158058652205547,0.0257648269286696,0.00876252936432185,0.0298446658603282,0.034483185188701,0.0102990824285962,0.0102880300009317,0.0155264624292797,0.00635907732165166,0.0322080509235499,0.0162763801762689,0.0182815572309397,0.0162490488280849,0.0043646925827606,0.0338233250970606,0.0118167202319064,0.0147928426249888,0.00440000799690863,0.00545346363396474,0.00432377087927061,0.170786732394044,0.0143130546634495,0.0234484823411505,0.0663715778101707,0.0130969141377837,0.0284079771085771,0.00505876613167266,0.00789019484721961,0.00518045749208873,0.00830711592951198,0.00559005766315868,0.0275996364480288,0.00948482109594995,0.00402953720602949,0.0222520452434359,0.00267941087532145,0.00391247573640124,0.0038601469067566,0.0154417979015787,0.0105114153701525,0.0114588178934083,0.024269448444178,0.0079970451242916,0.0371542763204762,0.00470987342278679,0.00799047002599412,0.00425318509591294,0.00958422807699797,0.0139324380019734,0.0115307308158953,0.00839838806194957,0.0121503277566114,0.0141909915230574,0.0119579541711553,0.0106556601866196,0.0137609811686996,0.0253284192414307,0.00663391502450246,0.0130309028347579,0.016266378072462,0.00851108465227374,0.0228402005736129,0.00562125373351945,0.0340429369262332,0.0118904969572272,0.0158846001724048,0.0109536809425953,0.00772338613221032,0.0289397583842245,0.0124743972728625,0.0218496181396357,0.0215241830420522,0.00688675992722447,0.00547254602110421,0.0545767248268797,0.00941196508853633,0.0122521407799967,0.00561206710122664,0.00797502176977568,0.0118782542130975,0.0464394209813593,0.00936298597229151,0,0.0085183614416948
"T cell CD4+ (non-regulatory)",0,0,0,0,0,0,0.0282644975961667,0,0,0,0,0,0,0,0.0850770515675824,0,0,0,0,0.00309367005592153,0.0333552182500573,0.020300471827513,0,0.020735382003461,0,0.0338452472170641,0,0,0.00257025682570361,0.0106170035935856,0,0.0024649161677771,0,0,0.00315290271350706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194877028276223,0.0225295377115909,0,0,0,0,0,0,0,0,0.00608384233085187,0,0.0084978370986946,0.0230039966334442,0,0,0.0800569727053978,0,0.010893120912291,0.0176447119233452,0,0,0.00576720672023695,0.0735494915678624,0,0.0446622039466505,0,0,0,0,0,0.00228867317457615,0,0,0,0.00726252674624789,0,0,0,0.0407304792480728,0.0043781580079472,0,0,0,0,0,0.245759808860565,0
"T cell CD8+",0.0105049905120791,0.00515686738327849,0.0115574069555181,0.0197653683158041,0.0017429052866889,0.00286815174006079,0.00377500227329247,0.0280023908486655,0.019740744116667,0.00497516736844618,0.00752769112617267,0,0.0148139948979462,0.00224566463344612,0.000167359120257127,0,0.00704673858299387,0.0101865861437955,0.00437700270572298,0.0124923740716421,0.0030990903609747,0,0.00348446484260978,0.0256990046852364,0.0225512191811408,0.0043110173055017,0.00112335847545507,0.00522386355673682,0,0.000681431264779753,0.0232475664702266,0.000227235222265163,0,0,0.0386221901931234,0,0.0263880072855693,0.00189462892839755,0.00337208180743919,0.0132372623529189,0.00815659508133461,0.0190535068545288,0.000643785403282061,0.000981647733168749,0.00877652941128702,0.005578849962011,0.0149000261539481,0.0468071803426347,0.00675618526241767,0.00467513998754475,0.00764102997743264,0.00327936008172104,0,0.0117807617348689,0.0173350683331443,0.00680303326962315,0.00148555650386374,0.00784538348170289,0.00422778808945614,0.00536174661981795,0.0138798045500143,0.00128001588086095,0.0213387186038038,0.0111391216183139,0.0062830177284721,0.00327974086156055,0.00588480489125872,0.00178848218002583,0.0126873977969761,0.0051818124032839,0.00584872930746262,0.00453534548762531,0.00318552972495887,0.000460252357926134,0.0314300982280737,0,0.0187422258138508,0,0,0.00707891644291987,0,0.00053391611807751,0.0484035750460792,0.0127171793704567,0.0225912027114291,0.024118427258441,0.00656036911746866,0.000254287645606263,0.0155696552088383,0.00410508969396794,0.000918027386313848,0.0187959174926502,0,0.00240876514914168,0.00375491501473326,0.0190613554357529
"T cell regulatory (Tregs)",0.0128143495246163,0.0124434218740302,0.0133317321388521,0.0151048793727795,0.0101807823490486,0.0115021502233041,0.00803604598591675,0.0201335970736157,0.0163806969529506,0.00601047671016882,0.0131516309253942,0.00762408722062472,0.0171003417005652,0.0109097249340535,0.00961189098783979,0.00693563570986946,0.0248112618013064,0.0114680365548242,0.0117093585108173,0.0259169408915863,0.00610338001842227,0.00853143546254528,0.0106069487960832,0.00656734603155634,0.0405079133466813,0.0075756683344849,0.0107258515015349,0.0122206204781122,0.00856986592741523,0.00287002910904447,0.0172272100703916,0.00446476268152426,0.0606928570814673,0.00930371985084642,0.0306365291889868,0.0418783535369641,0.0174768555478622,0.0173632731990742,0.00693127344773702,0.0396245804502117,0.0344192785480711,0.0114813972429259,0.00683856457941007,0.0203860915721244,0.0202243973030095,0.00793492957398021,0.010042123796939,0.030425280619823,0.00822812508080207,0.00282362203656453,0.00994454168909686,0.0132698040686535,0.0100356496059134,0.0428511902654367,0.00603876942698171,0.026040743723395,0.00456943414133899,0.014026514403721,0.00214442208871484,0.00252040726180906,0.0101431667219371,0.010939332109164,0.00558041133372934,0.0127052341620251,0.0117835640982046,0.0109677595022361,0.00872140329738484,0.00367968039037195,0.0216724107980583,0.00654770860157427,0.00515679511806458,0.0110370929096802,0.0100036323098477,0.00984040708618131,0.00657185545345972,0.0140857864962782,0.00356874993636642,0.0070852024144376,0.0162543831928893,0.00682629682706778,0.0109893008013676,0.0361864956779298,0.00462776348739585,0.0259352364049147,0.0159295508562073,0.00685915367339749,0.00861616757457096,0.00364491187149214,0.0177835419239945,0.00527047594020594,0.00784911963930533,0.0201295935552155,0.00892120375265476,0.00892711927885111,0.0509203499482731,0.0238430574654557
"Myeloid dendritic cell",0.0101891187976088,0,0,0,0.000696698738670195,0,0.00402055391448745,0.0279428604578167,0.00224376861973104,0.000137175458846707,0.000628521018151163,0.0167514703531107,0.0225977830367538,0,0,0,0,0.00307566230877636,0.00319509905610374,0,0.00309423192818733,0,0,0,0.0244679896207398,0,0,0.00318370590388779,0.00327581650097533,0.00203310362946813,0.000562074842507907,0.00425402809312042,0,0.00760597350189083,0.023676627130748,0,0.000302767632344982,0,0.000376167286924094,0,0.00155555753416697,0.00744094851822247,0.00147150385160346,0,0.0114774662229641,0,0.0145722307459852,0.00223871631947327,0,0.0015263619044314,0.0166722701420781,0.00171821429836755,0.00905304142017189,0,0.00464791379498937,0,0,0.00724076306317929,0,0,0.00364719141358915,0.00290183447627977,0.00217999002797958,0.000918503896450416,0,0,0.00492701523876318,0,0,0,0.000211365391544309,0,0.00350173475228097,0.000924214288665066,0.0110504516949995,0,0.000127397458199043,0,0.00378404322207114,0,0,0.0140433428850119,0,0,0.0044430938131458,0.00722744926349202,0,0,0.00173825429847581,0,0,0.00518150166807072,0.200103714597152,0,0,0
