"cell_type","LIB.04579","LIB.03316","LIB.008191","LIB.03323","LIB.04651","LIB.008187","LIB.03335","LIB.04598","LIB.04647","LIB.04617","LIB.008204","LIB.006810","LIB.008203","LIB.04625","LIB.04610","LIB.04606","LIB.03332","LIB.008177","LIB.008180","LIB.03324","LIB.04611","LIB.007617","LIB.006811","LIB.007622","LIB.04624","LIB.008202","LIB.006807","LIB.008181","LIB.03333","LIB.04592","LIB.008197","LIB.04584","LIB.03325","LIB.04657","LIB.03329","LIB.03322","LIB.04650","LIB.03317","LIB.008190","LIB.03334","LIB.008186","LIB.008205","LIB.04605","LIB.006805","LIB.04613","LIB.007619","LIB.007620","LIB.008200","LIB.008199","LIB.008195","LIB.03327","LIB.04586","LIB.04659","LIB.04655","LIB.008183","LIB.03331","LIB.008178","LIB.04643","LIB.04648","LIB.04644","LIB.008184","LIB.03320","LIB.04581","LIB.04652","LIB.03319","LIB.008192","LIB.006814","LIB.04614","LIB.04618","LIB.008189","LIB.008185","LIB.04649","LIB.04645","LIB.03318","LIB.008193","LIB.03321","LIB.04580","LIB.04653","LIB.04615","LIB.006815","LIB.006803","LIB.006804","LIB.007621","LIB.04627","LIB.008201","LIB.007618","LIB.03326","LIB.04658","LIB.04654","LIB.008198","LIB.008194","LIB.04591","LIB.03330","LIB.008179","LIB.04642","LIB.008182"
"Myeloid dendritic cell activated",0.417996134165707,0.149563458909442,0.360783420014281,0.578655758109534,0.301066826117493,0.472847910128028,0.255491313472703,0.235354441722402,0.443983329604593,0.215132897306966,0.383199634523868,0.235456327184109,0.191303808533012,0.18979518544329,0.0170526234651071,0.0760071064259078,0.32349134059866,0.466116582368403,0.249644018260133,0.351898903472914,0.129480396336557,0.204118733909681,0.176270489996796,0.191054073734489,0.552586019690592,0.241506476516073,0.273697454889122,0.243256908963436,0.186453836941514,0.0701372439254053,0.491924146734338,0.233385760052252,0.0722089943395541,0.117737521388127,0.756372268857792,0.177735902678538,0.409118193468061,0.329042479467888,0.161530440554022,0.390706297463811,0.51141914833346,0.395649459073131,0.189679954114952,0.11592618622687,0.208394649535308,0.195407818899643,0.354394767731383,0.70321237730521,0.251705904910606,0.291042718532263,0.280378896532848,0.313197838405852,0.204276205650365,0.49067477574823,0.304222712712452,0.367739492429979,0.11855791176509,0.360806223402243,0.161116088380492,0.336505835502885,0.268895427892365,0.261650629277669,0.342688057018923,0.372018208065474,0.292288005319492,0.329290485534093,0.424166431761975,0.114672257258907,0.290387057771612,0.377329054523162,0.330434963294346,0.330118730486541,0.102474040302206,0.11143172409739,0.216997255146402,0.093581490841874,0.282588692903742,0.150692686878875,0.310859117741802,0.182619111346939,0.0831040347938975,0.263816099364617,0.20619459133381,0.169091158499597,0.493489637324725,0.456435476111744,0.410358970658035,0.0740076074320973,0.371509394353084,0.247480518846531,0.149277652156868,0.522864388298356,2.75258454983405e-19,0.119806202976805,0.340640120068478,0.464165340771065
"B cell",0.158761623667803,0.0253267327186527,0.0570205056453186,0.0682465290438871,0,0.000588331031787384,1.61040627347672e-18,1.1581327119811e-18,0.0261136218715885,4.44542597774044e-18,0,0.0165254668133653,0,0,0.00799484590214447,0,0.0298202195404692,4.0549675058455e-19,0,0.00859115299342678,0.0054816093140693,0,5.29982991129859e-18,4.68468981180802e-20,0.28644606164696,2.98903340342179e-20,0,4.60394825859852e-18,0,1.84524560012299e-18,0.0373820743542509,0,0,0,0.133889658427484,0.0159937243680344,0.203722724934477,0,0.0126267317490251,0.104290170666517,0.13414207904419,0.236370489214537,9.04331817969216e-19,0,0.0320732891403755,0.0204081503276599,1.39287373131711e-19,0.48720600872297,1.7383549814984e-19,0.00789977980336357,0.0165976668794601,3.22075692876926e-20,0.00542490988858089,0.0596257024126659,2.38340788713349e-18,5.48104699100236e-21,0.0124762466491706,1.24336521453656e-22,0.0247492883733386,0.0450626893580438,0.00784915931084652,0,0.054471311961941,0.0140514787656356,0.174056684898446,0.0128714621285129,0.269134365165187,0.00387315426576061,0.00732471086836376,0,0,0.0075112883815276,2.17387608772256e-19,0,0,1.06970103759565e-18,0.0662282059903189,9.83873305112303e-20,0.0146271534565485,0,0,0,0.0149743336808131,0.0353215259651868,0,2.22426660498631e-20,0.017028995929225,0.00036547544218083,0.288629693045113,0.00729833506501946,1.16860857956583e-18,0.0603780827275146,5.18063871284336e-05,7.24295107136087e-18,0.838693384965444,0.10524447132351
"T cell CD4+ memory",0,1.03112764162009e-19,0.00439373286182981,0,0,0.0099400565074556,0,0,0,0,0,0,0.0018241288801203,2.77189138301703e-19,5.69039412158516e-19,3.94946642633281e-19,3.14613698751392e-20,0,3.39102042099161e-20,0,0.00238539717755382,0,3.91236016319054e-18,0.00280303140407683,0.00365941791627254,0.00427710312703899,0,6.60537982376215e-20,2.20294305500754e-19,0,0.0112015896470288,6.64835283703849e-19,3.2312596740845e-18,1.65368287919523e-20,0,2.92769995795933e-19,0,9.25561581875617e-19,0.00550783495212542,1.31357028792334e-19,0.0115958479991051,0.0169051448402284,0.00551300221269677,0,0,0,6.69463544453227e-19,0.0558332436573357,0.00450562642835963,0.011583910014065,0,0.00336529079300537,8.37237355208757e-21,6.58139261725614e-20,0.00557646194007985,0,0.00512837416063738,0,6.8854648233763e-19,0.00385494445099186,5.42101086242752e-20,3.93785630620919e-19,0,0,0,0,1.65357694686132e-20,0.00592641393590784,1.55985647275521e-18,0,0.00418118235423985,0,3.67369986633488e-20,0,0,1.0609379794347e-19,4.82712353061428e-19,0,7.82044785914457e-21,1.09756824846621e-19,6.67464012509432e-19,0.00251728753271301,0,0,2.49005808409391e-19,0.00287572320544941,0,4.76940953268804e-20,3.87837680272755e-20,6.45751022350303e-19,0.00211737340004455,0,4.01778093136429e-19,0,0.0311027430038706,0
"T cell CD4+ naive",0.0570271336234876,0.014930992857826,0.0153879831839137,0.0420851619791629,0.0152695205919007,7.26583962579342e-18,7.20976117478848e-19,0.0339462228423262,0.0398174539788265,1.18013485660293e-19,0.0160973795926265,0,0,0.0331750103997905,0,0.0025211092044389,0.0279553827931056,0,0,0.070911658414191,0.000632874105890457,0,0,0.00539211560226195,0.108958528441123,0,0.0406654614820861,3.61890125832433e-18,1.85510880936011e-18,1.62136900832635e-18,0.0224717951889387,6.28007730713982e-18,0,0,0.145442238460024,0,0.0322169749366358,0.00885802357221634,1.07531076969941e-20,0.0199945023181545,0.0316582097999755,1.27629392157962e-20,0,0,0.0276881820026286,2.96948778375471e-19,5.78757297821925e-20,0.0507408367890299,0,0,0.0230990438777025,2.16545692386789e-19,0.000192322922869029,0.0400916049216518,6.14041344051305e-20,0.0232784182979017,0,0.0247836294981374,0,5.03596465391797e-18,0,0,8.18317426756867e-21,0,0.0130828520987502,5.60809039445152e-19,0.0213257284258933,0.0174539065967167,0.0132189694753177,0,2.14308005018221e-18,0.00665123607569916,0.00818467388892805,0.00795413026410752,0,0,0.0225340125106995,9.62580247281962e-18,0.000415433632005041,3.37191226907678e-18,3.5838893623301e-18,0,0,0.00458140240826516,0.00628763428913292,0.0277227327996252,0.0239268919248544,5.84948547665376e-18,0.0935598645462522,4.48002553183654e-19,7.25060009568194e-18,0.0799053608548537,0,1.29017089745934e-18,0.0819237526305265,0.0110750413390052
"T cell CD4+ (non-regulatory)",0.00607918735121074,7.0920245501798e-19,3.63394832873541e-19,2.40929432052199e-18,8.41297306500701e-19,6.59673970982566e-19,0,4.87764751957189e-18,3.81342736671062e-19,2.75167111761158e-18,2.74925837445125e-18,1.56768999380831e-18,0,0,5.63900008639402e-18,0,0,0,0,0,0,1.15176997380661e-18,0,0,1.4461359768581e-18,0,0,6.18230893447925e-18,0,0,0,0,0,3.63886945932867e-18,0,2.12530674724101e-18,5.04058298973198e-18,4.3517762154505e-18,0,0,0.00671008903980258,0,2.30139476550102e-18,1.44022118128187e-18,0,1.39690451051163e-18,1.03705707595024e-17,0,9.93566016201192e-21,0.00625265350343295,0,0,3.70653082152345e-19,4.49824764279299e-18,2.977115257317e-19,0,0,0,0,0,0,1.68916742337024e-18,0,3.68116900385295e-18,0,0,0,0.000773392099565471,1.01785148885105e-18,0,0,1.00839654636414e-18,0.00301357290269851,2.66552194020389e-18,1.86925460230751e-17,0,0,1.6681671595882e-18,0,2.24463698057418e-18,0,1.67261638210711e-18,1.94818479262824e-18,0,3.57109283527474e-18,5.1741680959716e-19,0,0,0,0,4.76033548699013e-19,0,0,7.15964640520873e-19,0.00774663809174358,1.49330479290037e-19
"T cell CD4+ central memory",0.00941037691328721,0.0524255594113292,7.74996836089141e-19,0.0107750524665947,0.0440956412957263,0.0131010626894699,4.39657816330893e-18,0,0.0295182378987451,1.50237017035937e-18,4.3760158033054e-20,0,1.59535528316268e-18,0.0299674428699612,0,0.0152594636903565,0,6.25759365177979e-18,4.69372087555417e-18,0.0101400324792581,4.10719880380307e-18,0.0424124761521805,0,1.109774402319e-19,4.8602925588487e-19,3.24979321110227e-19,0.0101478982640341,1.12381187430707e-17,0.0282327119942543,2.14727881563423e-18,0,3.23124840545795e-18,0.0524234691856209,0.00198182304770919,0,0.0618865659911203,5.35843690426677e-19,0.000131837540715635,3.66091016245795e-19,0.00458250947760678,2.72814151917336e-18,0,1.88174665819292e-18,0,0.0355541383233666,0.0552938554170627,0,0,0,0,1.23113391158392e-18,6.1306696114582e-21,2.09591930324099e-19,0.067799824337595,0,0.0551768236316357,1.39217452792494e-18,0.00204851999158063,0.0446503784936293,0,0,0.0282946840752262,0,0,0.00646300505694915,0.0112065917798209,0.0404641304157334,0.00175998417222133,0.0135316874753327,4.16094761289922e-18,0,0.00593133725225764,0.0313970602016459,0.0621717194898878,1.52370942290057e-17,0.0306346687637578,0.0170679573004528,0.0193507489897581,0.0275166301960056,0.0074123070330656,0.0147296696346778,0,0.0198491186563623,0.0103288469167236,6.18607041292904e-18,0.027853478818948,0.0284648828689743,0.0290870772517099,0.0105323839055448,0.0560697242134863,3.80702145262463e-18,5.15479539428361e-19,0,0,0.0249828063226415,0
"T cell CD4+ effector memory",8.54631825777675e-19,5.30404748229015e-19,0,0,3.31498309329064e-19,8.71448227922018e-22,1.15909823607003e-17,0,0.014098875388641,2.71929102154673e-18,3.7968019638818e-18,0.00691652596542327,0.00622732754692759,0.0115027333097721,1.50743286807374e-17,2.64443372738447e-18,0,0,1.22683988195808e-17,1.1146810775196e-18,0.00221978452892139,0,7.12328557576921e-18,2.28523800964803e-18,1.53500984671409e-19,0.00390068361745952,0,0,0.0103593615411744,3.77265413820837e-18,5.37483424018551e-20,3.83483528135202e-18,0,1.53447547176028e-18,0.0572766231707875,1.34758758897052e-18,8.75258930784572e-18,7.63285287712227e-18,0,0.0554603212242962,0.0124620535100979,4.30590831453604e-18,1.26557412124337e-18,1.03073277977335e-17,1.1246650239242e-18,2.78834098607256e-18,1.35787542968379e-17,0,7.67146151670267e-19,0,0.0227874264246703,2.48879811226875e-18,0,1.63820272278485e-20,4.56605070117203e-18,2.29054315597393e-19,0,0.0327887090997442,0.0288445865389606,8.13972798208269e-18,0,9.75798681209363e-18,6.7667388545088e-18,2.42439323184544e-19,0,0,1.29012912117533e-17,0.00212420746382637,0.00301616254181637,1.05174897745226e-17,0,0,0.0292201861119937,9.96489590748376e-19,4.75335592462922e-18,1.46510449746656e-18,6.52932603867277e-18,1.15266915905258e-18,0.0157555547428887,0,4.03414967511782e-18,0,0.0437904927377831,0,0,0.0103341088598732,1.64120802362749e-17,0,3.861160190839e-18,0.0464980862014473,0,1.51999219801254e-18,1.09799825121088e-18,1.27358476818653e-18,7.36987964860231e-18,0.000294693489872609
"T cell CD8+ naive",0.0189993161940821,0,0.00886921371354486,0.00994032764962969,0.00997153864054502,0.0116410038532366,0,0.0296125812155259,0.00840116143153838,6.89961752862506e-21,0.00951693641842735,0,0.024313857322273,0.00294415036352602,0,0.000328238997075198,0,7.44952830150262e-20,0.00611733350149898,0,0.00872631235793991,0,0,0.00688833018248931,0.000886901410870391,0.00392218406141912,0.00133856054198271,0,0,0.000212818525096383,0.0280551615827075,5.13875321014968e-19,0,0,0,0,0.00961646625119966,0,0.00953447217541795,0,0.0150859802886991,0.0211441102880916,0.00470372414651699,0.000155076693176501,0.0114517038562288,0.01225788135167,7.40506631757621e-19,0.041495357715557,0.0170591096144359,0.0256315411048822,0,0.00226929898002523,0,9.79566323575971e-05,1.84255594718205e-20,0,0.00370167694220147,0.00195776127414292,0.00547954327969987,0.00745367678219852,0.000809398037517174,6.47581069669936e-20,0.00694831684778785,0.00442075668134975,1.23500491554398e-19,0.0118359708927713,0,0.00428752692008032,0.0010544533259152,0.0129075737269442,0,0.0003873284403568,0.00692214475413409,0.000548317483653065,0.00271755319488723,2.72766299739848e-20,0.00913399055711286,0,0,5.30290824558352e-19,7.02521095472117e-21,6.8629161796984e-19,0.0120739780194587,0.00411072468433164,0.0295650270078364,0.0176399292949325,0.000758639004079739,6.11766612771273e-20,0.0016537036847081,0.0137322088575827,0.00696501465487954,0.00553012725454742,0.00787573026214806,0.000355796224760632,0.0070408821219316,0.00333782841819069
"T cell CD8+",0.0694883784026883,3.34490327858409e-20,0.018151120865261,0.00686121615240976,0.0315650842542831,6.93878718035667e-19,0,0.0386524828149807,0.104854921977204,0.00208633504010557,0.0061521859136596,1.65562008246007e-18,4.25305446817987e-19,0.0154283842945866,1.1840594774249e-18,0.00229519947201378,3.21830621507543e-19,0,5.1041060969147e-18,0.0350447865032414,0.00217430950818298,0,1.56555443901936e-18,0.0330770238660776,0.0577004971504784,3.73021716505277e-19,0.0158748188641607,5.16729348940452e-18,4.05216640263832e-20,0,0.0982076257075076,4.22381902563956e-18,0,2.24196453537526e-18,0.144542181048653,0.0105944987590092,0.0775299856455877,8.36599894860478e-20,8.27242471822014e-19,0.00521677577485434,0.0297217045168567,0.0486542819620553,0,0,0.0225363006202489,1.07250145419911e-20,0.00123490175973393,0.153445626573059,5.57136689268614e-18,0.00207557570217875,0.00306725115754468,0,0,0.0539690335867819,0.000624406832541628,0.00634222275724559,0,0.0171989235462295,0.0219025148340139,0,0.0207339996696289,0,0.0462170525015004,0,0,0,0.00354019797971338,0.0184694913728185,0,0,0,1.60816774947235e-19,0.0108046070524674,0.00777238296119779,0,1.55858490206296e-18,0.0634908583015626,0,0.0008292261540007,0,0,0,0.0419759469781457,0.00815123448618557,0.0991270656974824,0.109231709758252,0,4.03237627546169e-19,0.0622064882798138,1.56291662585541e-20,0,0.0568808649537435,5.99775731896276e-19,0,0.0485245184175608,0.0348923071129325
"T cell CD8+ central memory",0.0995420629080843,0,0.106753942340351,0.0680920144940011,2.48179075798178e-20,6.13914045447149e-19,0.00129806756065145,0.054411893980305,0.102755779133231,0.0339304105958423,0.0425773489428775,0,1.3759107976379e-18,0,7.44277834998557e-19,0,0.00144418489539201,0.025688796867574,0.000776836804652032,0.0257468910713477,6.31214969189836e-23,1.06502613599367e-17,1.85856087682493e-18,0.0998387633938453,0.0721643981362754,0.0103551658896214,0.00873469764435159,3.35361555467458e-19,3.56029291823217e-18,3.7318409134777e-19,0.161022236549073,0,1.25788587161556e-17,1.51333531811608e-19,0.140944311514859,0.00300801307460823,0.16127388578813,1.86556666585043e-18,0.0123231338003405,0.0460124464946335,0.0611144166076818,0.133612449973643,4.48892233940087e-21,2.17484481920294e-18,0.0163209152994092,0.00997707553658794,0,0.286173096085798,0.012318869659318,0.0257294211108007,0.0179020237440665,0.0224068750045223,0,0.0470838648521986,0.0250223532724818,1.81139900778322e-19,0.00888189592521875,0.0305591712859275,0.0111392432422373,0.0152328643928589,0.0395700985475187,8.61633626023756e-19,0.0972204062249547,0.0172803230919109,0.00312808128966204,0.00815539246542065,0.0344449103788531,0.0167048515206324,0.000343364161964311,0.0144580803289696,5.45497331361448e-19,0.00819089720808439,0.0103810425457766,0,0,1.50123693451838e-18,0.0614062032777478,3.14283067414065e-18,7.89749861797042e-20,8.01325652723848e-18,7.21060424916988e-19,5.23423920542012e-18,0.0731852831784306,0.00749679308690927,0.134552610540936,0.143761726217813,0.0181129710705862,0,0.0903814212907821,0.00612052076230138,0,0.0811225191423414,2.90226212659466e-18,5.1717561447136e-18,0.0550599867050386,0.064899851022992
