Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
3df0cb8f-4559-40ce-bcf4-4b038929fb4e,0.0181822774840367,0.0289077014381197,0.0594105960064868,0.00934519611394773,0,0.0269850216306137,0,0.0317751281154053,0,0.00978345410087902,0.0246671280516139,0,0,0.325068671124598,0.0123244450332623,0.0495545594991199,0,0.005725972911162,0,0.0679739852574081,0.0177651535884482,0,0,0.654451097156799,0.761661461612766,0.687469290355102
9efb4d56-8ada-4280-bb76-b5746e4335b8,0.105306291621363,0,0.192608935870599,0.080852416247589,0.182396948085162,0.0205637164616983,0.0534106692377368,0.0767694009773965,0,0.0529150244316827,0.118540138833194,0,0.00575783357434871,0.196348519062686,0.0674130610142654,0.189648839001258,0,0.137132162734792,0.0519223006530546,0,0,0.0157998504843172,0,0.344798979126643,0.940330439171423,1.54738610829114
3d3453a8-9260-4bd0-a4e6-a21feabc750c,0.339322377238494,0,0.284662490274515,0.177103034794807,0,0.428379909959993,0,0.17596319294239,0,0,0.0473451563189601,0.0848992348504813,0.0676912042235887,0.254815246800752,0.107197428632003,0.129890945950678,0,0.0365987078730608,0.0646570338819163,0,0.00565916595955834,0,0,0.414361736951567,0.910435895767774,2.2041851297012
8a082588-a4f5-4cf4-8a61-fb1a13582026,0.0933031042410172,0,0.0904087706475208,0.123734224924451,0,0.1749584703047,0.0612278111869673,0.110124302364472,0.026264612862501,0,0.0696337935194837,0.087740497141187,0.0295069571851876,0.133631312370436,0.0910518890667567,0.236950322044524,0,0.136222557381555,0.099540313434348,0,0,0.0193373356866167,0,0.344182030145163,0.939324593870126,1.58363627436172
9121500e-1757-4024-963b-2d875e66932f,0.128203042784821,0,0.280949956060577,0.297277614828356,0,0.393176513030842,0,0.171149306868962,0,0,0.141264758334338,0.0225733706894855,0.107096407789921,0.117862555226921,0.120207299438938,0.216330654180065,0.0126206170805045,0.056704594520694,0.0406353938995235,0,0,0,0,0.33751299578781,0.946044538957779,2.10605208473395
382d9830-4cd6-4c06-9c87-9a83dd01e25c,0.103828737163314,0,0.137973583737538,0.0166672956603383,0.042546918523736,0.0723523269256898,0.0129765002853263,0.0141159767123411,0.0257178347112937,0,0.0304304684591918,0,0.0194655525474007,0.141250821076908,0.0411555536816702,0.282483472842864,0.00540134400113698,0.00206787182090674,0.321699119789293,0,0,0.0119179360516097,0,0.438112807966737,0.898907848367398,1.28205131399056
1109f6d7-0ed1-4be3-aa63-71e7da82d57e,0.0322047921432447,0.019563324730345,0.046173725657714,0.0330260486995621,0.0399867901494387,0,0.0578717672893629,0.0533574172295293,0.0148651015850246,0,0.0446021627648716,0,0,0.146043870813279,0.0460315857905996,0.177513766269828,0.00806793324478317,0,0.161922812332425,0,0,0.0191221066083228,0,0.526713776156699,0.860323288328232,0.900353205308331
aaa54a0c-f437-4e0e-ae39-977bebd517bf,0.217974841196291,0,0.374645862410314,0.180788079006337,0,0.174651805813094,0.0916793679393959,0.071783458914164,0,0,0.0794630807345805,0,0.00962386699506171,0.131655328871937,0.0771121639366873,0.343944406081328,0,0.00706614991167102,0.0911042825131813,0,0,0.00266749362750808,0,0.586564045404502,0.819274682910182,1.85416018795155
91714b41-6550-4638-bc95-bd9bd8163f37,0.0530288671744198,0.0323259477501439,0.514139042012166,0.0740599064212983,0,0,0.0922882553745049,0.228215169633936,0,0,0.0678574263890722,0,0.0317311856044025,0.0705457163211887,0.0885336575473149,0.297826509540018,0.0230888263597066,0.045625750628579,0.142254304626687,0,0.0275638465241008,0,0,0.644226625140097,0.78183060971884,1.78908441190754
04a48065-ea14-4c82-82df-b7784d70193a,0.0818960043432876,0.0700675294581083,0.190808081782977,0.158925814752572,0,0.234595231249235,0,0.0446210499760266,0.161439971165605,0,0.266599544719172,0,0.114591192281473,0.170103674132944,0.0714241086969259,0.28762561598157,0.0392028562008558,0,0.359545994538394,0,0,0,0,0.30207808350241,0.956567749785226,2.25144666927914
d06d5373-6a1b-474c-9279-10fcb29f59ba,0.0149227098068176,0.353621945202119,0.311607546241997,0.0585900983392837,0.0310432478003219,0.227552025200948,0,0.0671725872527875,0.0758931462251073,0,0,0.117280021116976,0.0899785265190885,0.0123727043993247,0.0962725661672246,0.168790044464524,0.0162140262671688,0.106028511098389,0,0.0416419752151699,0.0185919741927587,0,0,0.526684706221596,0.850353097143069,1.80757365551001
a39ba4b3-40c6-479c-9407-01616194b057,0.106795641053953,0,0.0735326165051627,0.0373893858844823,0,0.203768054641788,0,0.00725511848190888,0,0.00440507890251707,0.0233283427433626,0,0.000356250446378071,0.678913039972722,0.0352198353683239,0.350699995834062,0.0178677726411731,0,0,0.077102593854459,0,0.0235118407513214,0,0.263372151832524,1.00747558542044,1.64014556708161
