"cell_type","X3df0cb8f.4559.40ce.bcf4.4b038929fb4e","X9efb4d56.8ada.4280.bb76.b5746e4335b8","X3d3453a8.9260.4bd0.a4e6.a21feabc750c","X8a082588.a4f5.4cf4.8a61.fb1a13582026","X9121500e.1757.4024.963b.2d875e66932f","X382d9830.4cd6.4c06.9c87.9a83dd01e25c","X1109f6d7.0ed1.4be3.aa63.71e7da82d57e","aaa54a0c.f437.4e0e.ae39.977bebd517bf","X91714b41.6550.4638.bc95.bd9bd8163f37","X04a48065.ea14.4c82.82df.b7784d70193a","d06d5373.6a1b.474c.9279.10fcb29f59ba","a39ba4b3.40c6.479c.9407.01616194b057","X9decb422.2c34.4d7a.bb06.9f7ecfc893e1","X5b527fb2.9de2.419a.9f62.989333449f6c","X4cd84adb.81dd.484f.bd75.4ded4b0bef82","X5e2d5c52.596f.49bc.967c.42129abbacbf","X8631ada8.2cda.42f7.927e.76a24efa128d","X8999059b.74b5.4388.afdb.457c9fd24421","a79dd5b2.f97a.4b24.b762.fea1cd5238fe","X2e125727.43f2.4a9d.8aa7.5d501240c883","X2bb0e784.10fc.4978.b5f3.bfc197438175","X9030ac3f.19d2.4173.9025.87726923621d","X59ad0679.53de.4370.86ac.e3a9605f6997","X68f89489.0460.4e20.b878.7c432907bafc","X994570f9.404b.471c.a5c3.78e59480dd44","X5324e01d.69f5.4979.903b.7644f3236ee0","cb75fb62.e6e9.4763.a97c.1a2b919adc5a","d4e6dc5c.510c.4431.935a.62105b691699","X6fd76033.7c26.440c.beca.144bd18f7d58","b6e47b05.afe9.41b5.b040.7fbcc62d4720","X905f2f5b.4bf9.449c.a070.5d2cce702e29","e2a25905.7c92.4e43.81c0.d09268014334","X0915dde6.5839.4705.8d9b.b01a6450feb6","X46c4652a.ac2b.41db.a17d.02625822027f","X1ca20860.4a2e.4d34.a479.5b56facc2c0a","X1463039d.7953.4216.9e8b.97f681332eff","X9905b104.db34.4cc2.a6b9.bf3fcd21c9cd","X020873c7.93d7.4eea.b25f.60663417d9bb","X08eca7af.fea6.4691.99d9.ec626d5bb4fa","d7877cdd.a69b.4d4c.bb62.d279e18dbf88","X6070db25.079c.4bfa.889d.e4e447ceea70","ab75bca7.5635.4839.a178.120a02ef575f","ef9c0189.9d4c.425c.8c21.7739fac91ee9","X03ccc0be.5e48.4577.a4b3.4cd754c917e2","X8d6e5037.8602.4a3f.a580.3f319aeeec8b","X0eecc108.eaa0.4723.8342.ddc7f91710f9","X5d84f068.72eb.44aa.ad9d.6f8eaa4a8a32","X108e4f62.aa05.4297.9bc2.2fb82d687349","X62a348d2.e7fd.48d0.9622.8b485da5e327","a03bda91.0936.4c67.9508.4903f84c980f","X00f70d11.3b58.4517.82ec.258cced34a60","X9ac00677.9ba1.4ee9.bf02.ecb04533f45d","c3916163.fdc5.4048.9ac4.bf3de91091ce","X117a3e8a.4568.44a6.baee.9a5ab002042d","X305bf2f6.8d2a.47af.8bc3.17460178a66c","X6588314e.69e9.44dc.b7d0.0966c1833608","X44047435.3e87.473a.9231.b61fb0d5045b","X55fee8d3.acd5.4366.ac30.c66225debe4d","X5643f725.6510.4fb3.9faa.44b3124a9ad6","fa75cad0.cab6.464d.8fee.147706c3b6e9","X29f2019d.5a69.497e.a7ff.73dd35fcaa01","X52bc932e.fe9b.49ff.8584.2f92e61d5871","f9e194a1.e5c1.4a1a.840b.4e0246640d09","X0a770cd6.c9b1.4cc4.9e31.1f8a820c5c1f","X4637f6a3.9e07.4ac4.be5a.c893a27c8fe2","cc684aee.6d8a.4074.8474.1c4a48dbc8c7","d63ffcfc.a31f.4281.ad8d.2fee7439abe4","X3387cf11.ce22.4151.869d.47dd9166fcd3","X44daefc1.eb50.4fad.98db.7724c1e2c201","a0a07f44.c51b.420c.92e8.65f464db0442","c392b91b.1f08.4e33.9ab7.42ec0fce3b92","X417cb3fa.2125.42ce.a638.51952c81dc2b","X95598eda.ba98.4c1d.951b.131e149989e1","X4d845308.2bea.47bd.bf18.e0b3ebcb81a4","X67d1ea12.766f.4eb9.af7e.4545975b076c","X91a45dff.d6c6.4a30.b79d.475dad0a609e","d7814767.c4ec.43ce.9cb2.646941b2870c","X71b6caef.331d.4331.a42b.4f83dca777d5","d08b9d87.7327.4d2c.8b10.8a3973b99209","ae15cbbe.2658.4d9a.ace3.4609df63f512","X76376038.5810.476b.831f.9bb938941243","X8782807a.e8ee.4469.afee.966224f6fdd4","f53c3d33.7501.46e1.8125.56fb73083b65","X3e751a3d.573e.42e1.a361.6303669fb7eb","X45c2cef7.58b5.4e76.abf6.8b88088c6c82","f5a438d5.ca2b.4d44.8768.97f59f5f27b4"
"T cell",2.10933333333333,1.476,2.83133333333333,2.72533333333333,2.95,1.496,0.535333333333333,3.54133333333333,10.0926666666667,3.69533333333333,1.03733333333333,0.981333333333333,0.904666666666667,4.41933333333333,0.668,0.756666666666667,1.23866666666667,0.562,0.854666666666667,3.98466666666667,1.202,2.58933333333333,8.04933333333333,2.72333333333333,0.823333333333333,0.306666666666667,3.014,8.68733333333333,0.278,3.358,0.616,1.18733333333333,4.57733333333333,6.54133333333333,7.26866666666667,1.21,3.126,18.848,4.61733333333333,2.29933333333333,3.53066666666667,1.196,0.0713333333333333,1.71666666666667,2.95333333333333,6.73533333333333,0.641333333333333,2.36466666666667,2.048,0.407333333333333,2.18133333333333,2.574,0.968,2.66666666666667,3.3,2.438,0.827333333333333,1.198,4.71266666666667,2.82266666666667,2.70866666666667,0.814666666666667,1.66066666666667,2.16666666666667,0.601333333333333,4.934,2.822,2.57533333333333,2.29466666666667,2.51,2.786,1.11266666666667,2.49733333333333,1.46333333333333,0.112666666666667,0.911333333333333,1.25933333333333,0.938,1.57266666666667,3.03133333333333,0.817333333333333,1.32466666666667,1.424,0.957333333333333,1.75866666666667,4.41933333333333
"T cell CD8+",1.37,7.51,0,10.96,7.74,0,0,30.66,14.11,14.9,0,0,0,7.3,0,0,0,0,0,4.6,0,3.2,22.47,0,7.91,0,0,0,0,2.71,0,0,5.56,9.16,7.34,37.03,0,74.52,3.84,0,0,5.89,2.65,0,3.89,20.59,4.32,1.6,0,0,28.62,0,7.01,0,0,2.41,1.24,0,3.02,0,0,0,0,10.91,0,14.04,1.26,7.12,8,0,6.15,3.76,0,0,0,1.68,0,0,1.34,0,0,1.45,0,0,1.31,11.89
"cytotoxicity score",0.244285714285714,1.06285714285714,0.598571428571429,6.78142857142857,2.45714285714286,0.0857142857142857,0,1.47285714285714,9.21857142857143,1.38571428571429,0.971428571428571,6.94571428571429,1.43714285714286,2.07714285714286,0.69,0.107142857142857,0,0,0.108571428571429,1.26285714285714,0.344285714285714,0.975714285714286,2.54285714285714,0.274285714285714,1.47571428571429,0.672857142857143,0.827142857142857,7.54714285714286,0.45,0.711428571428571,0,0,1.69285714285714,1.88428571428571,3.47571428571429,0.654285714285714,1.39571428571429,13.4628571428571,0.314285714285714,0,2.46714285714286,0.237142857142857,0,0,1.03714285714286,1.25714285714286,0,0.311428571428571,0.167142857142857,1.09571428571429,0.08,0.542857142857143,0.554285714285714,0.407142857142857,2.35857142857143,1.24,0.534285714285714,1.27857142857143,1.07857142857143,0.154285714285714,2.26571428571429,0.498571428571429,0.838571428571429,0.0642857142857143,0.284285714285714,1.61714285714286,0.952857142857143,1.19285714285714,0.0714285714285714,0.295714285714286,1.10428571428571,0.421428571428571,1.25857142857143,0,0,0.467142857142857,0.117142857142857,0.422857142857143,2.97571428571429,2.13142857142857,0.541428571428571,1.24571428571429,1.98285714285714,0.848571428571429,0.16,2.67714285714286
"NK cell",0,0.28625,0,0.3125,0,0.0875,0,0.27125,0,0,0.01875,0,0.15875,0.11,0.1275,0,0,0,0,0.25875,0,0,0.3675,0,0,0,0.1675,0,0.32875,0.04375,0,0.24625,0.4725,0,0,0,0,1,0,0.15125,0,0,0,0,0,0,0,0,0,0,0.045,0.6775,0,0,0,0.1525,0.37,0.09625,0,0,0,0.11375,0,0,0.16125,0.105,0.10375,0,0.0625,0,0,0,0,0,0,0.09375,0.20875,0.07125,0,0,0,0.095,0,0,0,0
"B cell",99.04,3076.52,8519.13555555556,1448.50222222222,6606.78222222222,1027.89444444444,105.766666666667,2602.78555555556,3059.33222222222,6838.53888888889,5989.46888888889,3221.19111111111,63.2944444444444,484.537777777778,389.363333333333,60.4533333333333,21.1233333333333,14.2422222222222,607.238888888889,35870.4644444444,3366.91777777778,2414.74777777778,24334.4944444444,2574.01111111111,1248.83333333333,103.171111111111,2059.84,7060.35666666667,1047.96555555556,28442.4166666667,84.3722222222222,130.952222222222,1573.71333333333,3677.92333333333,782.17,672.79,1432.74666666667,24761.7855555556,3533.48444444444,5174.32555555556,2631.39444444444,382.364444444444,431.903333333333,733.457777777778,8895.62444444445,5491.66333333333,473.802222222222,2197.50111111111,2576.16888888889,1066.85333333333,53938.4688888889,6184.19555555556,2754.90222222222,1138.34555555556,8324.98888888889,27486.5166666667,168.476666666667,5029.71222222222,9519.13777777778,127.774444444444,3015.97444444444,1639.30444444444,8312.1,53.9366666666667,13.3533333333333,6366.25222222222,15137.2611111111,2075.3,1634.87,1903.75666666667,2440.25,111.538888888889,224.534444444444,1259.66,391.23,93.8322222222222,765.994444444444,335.771111111111,1513.47222222222,553.773333333333,1626.44555555556,2962.71888888889,1499.77555555556,237.04,167.706666666667,5783.90333333333
"Monocyte",5.45571428571429,10.9928571428571,21.2042857142857,18.7285714285714,8.70428571428571,13.9257142857143,12.5857142857143,8.89714285714286,10.2942857142857,22.6371428571429,6.16,14.5042857142857,17.5228571428571,20.0271428571429,8.86,8.05285714285714,7.71285714285714,3.17857142857143,1.88,13.5914285714286,28.0871428571429,7.37571428571429,20.9171428571429,7.28571428571429,8.64428571428571,33.8428571428571,26.1271428571429,30.2428571428571,5.03857142857143,5.2,8.26,9.49,19.94,10.2942857142857,36.6071428571429,7.85571428571429,22.8928571428571,12.5257142857143,28.2257142857143,9.85142857142857,13.7014285714286,7.87571428571429,4.98285714285714,9.25285714285714,7.12428571428571,8.00428571428571,1.59428571428571,7.85857142857143,9.95142857142857,4.87428571428571,6.62428571428571,5.79,7.46285714285714,12.1328571428571,15.7914285714286,14.25,13.1071428571429,7.85571428571429,15.7628571428571,2.90142857142857,11.5371428571429,4.05714285714286,20.7514285714286,10.4285714285714,3.54857142857143,9.14714285714286,9.67142857142857,13.0114285714286,3.14857142857143,17.6971428571429,6.8,3.50428571428571,10.5957142857143,15.1614285714286,6.64285714285714,13.9457142857143,8.2,3.16,22.0457142857143,15.7628571428571,4.79428571428571,7.16428571428571,9.57142857142857,4.32285714285714,15.3485714285714,14.0971428571429
"Macrophage/Monocyte",5.45571428571429,10.9928571428571,21.2042857142857,18.7285714285714,8.70428571428571,13.9257142857143,12.5857142857143,8.89714285714286,10.2942857142857,22.6371428571429,6.16,14.5042857142857,17.5228571428571,20.0271428571429,8.86,8.05285714285714,7.71285714285714,3.17857142857143,1.88,13.5914285714286,28.0871428571429,7.37571428571429,20.9171428571429,7.28571428571429,8.64428571428571,33.8428571428571,26.1271428571429,30.2428571428571,5.03857142857143,5.2,8.26,9.49,19.94,10.2942857142857,36.6071428571429,7.85571428571429,22.8928571428571,12.5257142857143,28.2257142857143,9.85142857142857,13.7014285714286,7.87571428571429,4.98285714285714,9.25285714285714,7.12428571428571,8.00428571428571,1.59428571428571,7.85857142857143,9.95142857142857,4.87428571428571,6.62428571428571,5.79,7.46285714285714,12.1328571428571,15.7914285714286,14.25,13.1071428571429,7.85571428571429,15.7628571428571,2.90142857142857,11.5371428571429,4.05714285714286,20.7514285714286,10.4285714285714,3.54857142857143,9.14714285714286,9.67142857142857,13.0114285714286,3.14857142857143,17.6971428571429,6.8,3.50428571428571,10.5957142857143,15.1614285714286,6.64285714285714,13.9457142857143,8.2,3.16,22.0457142857143,15.7628571428571,4.79428571428571,7.16428571428571,9.57142857142857,4.32285714285714,15.3485714285714,14.0971428571429
"Myeloid dendritic cell",0.113333333333333,0.93,0.513333333333333,1.72833333333333,0.638333333333333,2.42166666666667,0,3.20666666666667,0.406666666666667,0.71,3.45833333333333,3.41166666666667,2.73166666666667,1.935,0.566666666666667,0.335,0,0.0966666666666667,0.141666666666667,1.74166666666667,0,5.17333333333333,3.92166666666667,4.01,1.46333333333333,0.68,2.92166666666667,15.8216666666667,0.463333333333333,0.741666666666667,0,0,1.55,1.70166666666667,14.5166666666667,0.231666666666667,6.39333333333333,3.21,2.415,1.14833333333333,5.31,1.88333333333333,1.095,0.655,0.248333333333333,2.23833333333333,0.476666666666667,1.60333333333333,1.61666666666667,0.755,1.11833333333333,1.05,0.145,1.515,0.691666666666667,1.025,0.853333333333333,2.50833333333333,4.76166666666667,0.806666666666667,2.48,1.395,3.66,0.188333333333333,0.316666666666667,2.81333333333333,1.845,0.856666666666667,0.185,3.53666666666667,1.025,2.76666666666667,2.48666666666667,2.08333333333333,0,1.96833333333333,0.165,0.106666666666667,5.99,2.42833333333333,0.295,0.43,2.27,1.515,5.00833333333333,4.26166666666667
"Neutrophil",6.42666666666667,3.67066666666667,10.3786666666667,7.01933333333333,9.48933333333333,25.3273333333333,15.7026666666667,6.51933333333333,6.352,14.7933333333333,2.63266666666667,16.3946666666667,7.30866666666667,14.2473333333333,6.78066666666667,27.8673333333333,32.3533333333333,3.50866666666667,13.8606666666667,3.11933333333333,5.31666666666667,11.6813333333333,8.37466666666667,18.5566666666667,6.49133333333333,10.498,19.9573333333333,8.93,15.0453333333333,5.84066666666667,6.698,7.28933333333333,28.3246666666667,11.8766666666667,13.9593333333333,8.704,7.94533333333333,5.82933333333333,17.5233333333333,12.7573333333333,16.4186666666667,10.384,13.9473333333333,20.814,4.936,8.25733333333333,6.628,14.5766666666667,16.5246666666667,7.65533333333333,4.09066666666667,17.7693333333333,20.4373333333333,16.1466666666667,24.0606666666667,9.30733333333333,24.5546666666667,5.08866666666667,10.6966666666667,9.98533333333333,12.1,20.012,46.0546666666667,12.1226666666667,2.94,10.764,7.15866666666667,19.3886666666667,5.756,28.982,7.35333333333333,14.6546666666667,17.3533333333333,18.218,6.21333333333333,22.906,8.88933333333333,19.314,9.354,23.7286666666667,16.148,8.98066666666667,21.3406666666667,7.186,8.712,15.998
"Endothelial cell",9.00878787878788,4.81636363636364,4.75272727272727,2.30969696969697,1.71636363636364,4.68575757575758,3.5130303030303,3.85878787878788,6.01969696969697,6.26393939393939,4.9669696969697,7.63818181818182,6.88181818181818,10.9781818181818,3.51212121212121,8.1,7.42939393939394,2.80060606060606,5.80484848484848,1.85787878787879,2.25545454545455,11.0957575757576,8.44878787878788,5.31848484848485,10.5172727272727,3.14242424242424,8.36727272727273,7.54,6.25848484848485,6.40333333333333,3.76575757575758,4.55212121212121,8.22212121212121,5.01484848484848,3.74363636363636,3.79363636363636,4.29121212121212,5.91939393939394,5.25424242424242,4.65090909090909,20.5321212121212,6.50636363636364,6.8430303030303,6.63939393939394,6.10484848484849,13.7463636363636,3.25939393939394,5.00151515151515,4.7430303030303,9.36151515151515,3.15909090909091,5.90636363636364,3.54484848484848,12.020303030303,4.27363636363636,4.41727272727273,5.21363636363636,6.16454545454545,8.19909090909091,6.07848484848485,11.9639393939394,5.10424242424242,6.12818181818182,3.00151515151515,1.14757575757576,6.75909090909091,3.55242424242424,4.59333333333333,4.52545454545455,19.199696969697,3.55787878787879,4.90575757575758,6.01242424242424,12.499696969697,8.80848484848485,3.50757575757576,8.65515151515151,6.30030303030303,3.71363636363636,8.30242424242424,6.05787878787879,6.43575757575758,8.20606060606061,2.06545454545455,3.44424242424242,7.58393939393939
