"cell_type","X3df0cb8f.4559.40ce.bcf4.4b038929fb4e","X9efb4d56.8ada.4280.bb76.b5746e4335b8","X3d3453a8.9260.4bd0.a4e6.a21feabc750c","X8a082588.a4f5.4cf4.8a61.fb1a13582026","X9121500e.1757.4024.963b.2d875e66932f","X382d9830.4cd6.4c06.9c87.9a83dd01e25c","X1109f6d7.0ed1.4be3.aa63.71e7da82d57e","aaa54a0c.f437.4e0e.ae39.977bebd517bf","X91714b41.6550.4638.bc95.bd9bd8163f37","X04a48065.ea14.4c82.82df.b7784d70193a","d06d5373.6a1b.474c.9279.10fcb29f59ba","a39ba4b3.40c6.479c.9407.01616194b057","X9decb422.2c34.4d7a.bb06.9f7ecfc893e1","X5b527fb2.9de2.419a.9f62.989333449f6c","X4cd84adb.81dd.484f.bd75.4ded4b0bef82","X5e2d5c52.596f.49bc.967c.42129abbacbf","X8631ada8.2cda.42f7.927e.76a24efa128d","X8999059b.74b5.4388.afdb.457c9fd24421","a79dd5b2.f97a.4b24.b762.fea1cd5238fe","X2e125727.43f2.4a9d.8aa7.5d501240c883","X2bb0e784.10fc.4978.b5f3.bfc197438175","X9030ac3f.19d2.4173.9025.87726923621d","X59ad0679.53de.4370.86ac.e3a9605f6997","X68f89489.0460.4e20.b878.7c432907bafc","X994570f9.404b.471c.a5c3.78e59480dd44","X5324e01d.69f5.4979.903b.7644f3236ee0","cb75fb62.e6e9.4763.a97c.1a2b919adc5a","d4e6dc5c.510c.4431.935a.62105b691699","X6fd76033.7c26.440c.beca.144bd18f7d58","b6e47b05.afe9.41b5.b040.7fbcc62d4720","X905f2f5b.4bf9.449c.a070.5d2cce702e29","e2a25905.7c92.4e43.81c0.d09268014334","X0915dde6.5839.4705.8d9b.b01a6450feb6","X46c4652a.ac2b.41db.a17d.02625822027f","X1ca20860.4a2e.4d34.a479.5b56facc2c0a","X1463039d.7953.4216.9e8b.97f681332eff","X9905b104.db34.4cc2.a6b9.bf3fcd21c9cd","X020873c7.93d7.4eea.b25f.60663417d9bb","X08eca7af.fea6.4691.99d9.ec626d5bb4fa","d7877cdd.a69b.4d4c.bb62.d279e18dbf88","X6070db25.079c.4bfa.889d.e4e447ceea70","ab75bca7.5635.4839.a178.120a02ef575f","ef9c0189.9d4c.425c.8c21.7739fac91ee9","X03ccc0be.5e48.4577.a4b3.4cd754c917e2","X8d6e5037.8602.4a3f.a580.3f319aeeec8b","X0eecc108.eaa0.4723.8342.ddc7f91710f9","X5d84f068.72eb.44aa.ad9d.6f8eaa4a8a32","X108e4f62.aa05.4297.9bc2.2fb82d687349","X62a348d2.e7fd.48d0.9622.8b485da5e327","a03bda91.0936.4c67.9508.4903f84c980f","X00f70d11.3b58.4517.82ec.258cced34a60","X9ac00677.9ba1.4ee9.bf02.ecb04533f45d","c3916163.fdc5.4048.9ac4.bf3de91091ce","X117a3e8a.4568.44a6.baee.9a5ab002042d","X305bf2f6.8d2a.47af.8bc3.17460178a66c","X6588314e.69e9.44dc.b7d0.0966c1833608","X44047435.3e87.473a.9231.b61fb0d5045b","X55fee8d3.acd5.4366.ac30.c66225debe4d","X5643f725.6510.4fb3.9faa.44b3124a9ad6","fa75cad0.cab6.464d.8fee.147706c3b6e9","X29f2019d.5a69.497e.a7ff.73dd35fcaa01","X52bc932e.fe9b.49ff.8584.2f92e61d5871","f9e194a1.e5c1.4a1a.840b.4e0246640d09","X0a770cd6.c9b1.4cc4.9e31.1f8a820c5c1f","X4637f6a3.9e07.4ac4.be5a.c893a27c8fe2","cc684aee.6d8a.4074.8474.1c4a48dbc8c7","d63ffcfc.a31f.4281.ad8d.2fee7439abe4","X3387cf11.ce22.4151.869d.47dd9166fcd3","X44daefc1.eb50.4fad.98db.7724c1e2c201","a0a07f44.c51b.420c.92e8.65f464db0442","c392b91b.1f08.4e33.9ab7.42ec0fce3b92","X417cb3fa.2125.42ce.a638.51952c81dc2b","X95598eda.ba98.4c1d.951b.131e149989e1","X4d845308.2bea.47bd.bf18.e0b3ebcb81a4","X67d1ea12.766f.4eb9.af7e.4545975b076c","X91a45dff.d6c6.4a30.b79d.475dad0a609e","d7814767.c4ec.43ce.9cb2.646941b2870c","X71b6caef.331d.4331.a42b.4f83dca777d5","d08b9d87.7327.4d2c.8b10.8a3973b99209","ae15cbbe.2658.4d9a.ace3.4609df63f512","X76376038.5810.476b.831f.9bb938941243","X8782807a.e8ee.4469.afee.966224f6fdd4","f53c3d33.7501.46e1.8125.56fb73083b65","X3e751a3d.573e.42e1.a361.6303669fb7eb","X45c2cef7.58b5.4e76.abf6.8b88088c6c82","f5a438d5.ca2b.4d44.8768.97f59f5f27b4"
"B cell",0.00211072840751415,0.0092877488200966,0.0109602586539002,0.0144816056102038,0.0199790613720075,0.0157160068453579,0.0131501372794578,0.00736121343040732,0.00869344221519782,0.0140163299721751,0.0169888055425301,0.0094490089618931,0.0147972282196798,0.0113676755764802,0.00343671032448069,0.0152682948545787,0.0179213468112065,0.00617237017327248,0.00562842540709453,0.0180287129082622,0.0275236884953206,0.0225828827273987,0.0395630586992731,0.00774423482245676,0.00984891787598493,0.0166326420131599,0.00885527463135281,0.036170106787962,0.0154571702018559,0.0236568469441448,0,0.0213424424394236,0.0331827749239765,0.0130228312355084,0.00387861612342853,0.0131941823586373,0.00831227471106002,0.0681471473474043,0.0070135935161126,0.0213372821606002,0.00962042003591546,0.0137220142164734,0.00773255935737008,0.0128334671710174,0.0279902125523327,0.0451438617934647,0.00570325256422781,0.0168998634061658,0.0185925210767306,0.000310967632955774,0.00788008211132095,0.0181827672811388,0.0100379092227656,0.0239487873041008,0.0177754174698827,0.011982535237841,0.014593008968779,0.017226397588019,0.021191034147013,0.00974745415400174,0.018994061933773,0.00627142436425655,0.0238082962203799,0.00920243375261524,0.00225051817527326,0.0376854110254163,0.0117325435571653,0.0144951112419031,0.0100878885965491,0.0220441183382793,0.0102564241812165,0.00732931823452203,0.00513675358711209,0.00805447789495109,0.0100451400683538,0.00608223890873499,0.00612205367293237,0.0158158248364446,0.0133275678295043,0.011859050676404,0.0131650662921545,0.00513539919695546,0.00743315661875981,0.00472152418817169,0.00783498427252526,0.019831851451306
"Macrophage M1",0.0887420086749402,0.0131262247048271,0.0268672097832607,0.159318146235426,0.0314621734579242,0.0198412315061021,0.0139618779237872,0.00981256740191368,0.0433830887320374,0.049405884965611,0.0165378824073158,0.0451798353018192,0.0592980457445326,0.0148719405735442,0.0191159370633912,0.0185086713855499,0.0457892769111601,0.0249385984022524,0.00664008331613271,0.0128454033757181,0.050110256148791,0.0381184338760996,0.040371499247253,0.0193209463894147,0.00429579527091241,0.0481722600407687,0.0282291743821049,0.11509051070839,0.0365039244483048,0.0113217921980316,0.00861865431426654,0.00875129397366295,0.0428841509837531,0.0489750576576234,0.245328365725084,0.02893233731005,0.0624138646883537,0.029030592329395,0.0417767558614749,0.0385741599627485,0.0385251201491891,0.010610343006244,0.0434616538489588,0.0163459028353024,0.0105118151867452,0.0161923022906525,0.00148735082465331,0.0207077379133437,0.031367626134935,0.0365588703211514,0.00524092354832539,0.00988067313939733,0.0344694465110614,0.0482851449324271,0.0289467019913645,0.0371241232304449,0.0182595786714058,0.00591538328672788,0.0294432756584333,0.0130729667085821,0.02159516238436,0.0356543657659923,0.03768582046984,0.0266871466867622,0.0080265678408731,0.0704508504978912,0.0337461955511181,0.0244890190202457,0.00215081633807827,0.0306825780607529,0.0121441562980736,0.00133801481973101,0.0361202974488877,0.0318245707626066,0.0178828361966945,0.014436437573985,0.0364613876895835,0.00933575499923434,0.0321873902017194,0.0220355382482415,0.0350535426164765,0.047662419897675,0.19189805186747,0.0868952596964371,0.0549035102202309,0.0349489568660898
"Macrophage M2",0.00095544256917468,0.00705048526242349,0.017215442006776,0.0130239791780136,0.021337588982438,0.0224933647803644,0.0172736143459055,0.0129929330516949,0.0111122463472477,0.0350754615610675,0.0119795413103208,0.0132147830097562,0.0173532599040567,0.0145629352172813,0.00184250372688377,0.0595515207623388,0.0506549811009003,2.03085997573107e-05,0.0146583107631236,0.0139425517342372,0.00985833263744665,0.0359462715985798,0.0181838673233191,0.0222000933776205,0.0235541937853538,0.0246853484821678,0.0202245418527138,0.0364583435485302,0.0239130827319107,0.00547005527973896,0.0230755660560457,0.0131369352614938,0.0715057301110253,0.0129671499097118,0.0383428063696369,0.0136878745871124,0.0223739750046264,0.0209293754923292,0.00707001138342934,0.0220025905477455,0.0183235581771838,0.0285711052616298,0.0251245578538109,0.0229770794784825,0.0130502861033627,0.0298704697601346,0.0178539650793223,0.0267336852181215,0.00966478561929188,0.0049104963869199,0.0034987516830225,0.0198244191853359,0.0280911769927961,0.0302956048168729,0.019047551467911,0.0207696494505894,0.0295376623020487,0.0233574305832064,0.0274227816385418,0.0320213187249015,0.0265238018142565,0.0237810864531145,0.0344090304270597,0.02110097591333,0,0.0106155242977036,0.022677785012605,0.0292315578193437,0.0124094892955586,0.0406602669537184,0.00527812845963614,0.00516591427200048,0.00430317843533073,0.0250546794708585,0.0211442219667593,0.0526879481631117,0.0378576312321608,0.0113483154386034,0.0400126394207806,0.027077555019356,0.00325943304897999,0.00569873061903553,0.0206052381958193,0.000185107891097845,0.0151948976831474,0.043998945612845
"Monocyte",0,0,0,0,0.00890823609239811,0,0,0.0123509154285201,0,0,0,0,0,0,0,0.0512810464901457,0,0,0,5.94899331892088e-05,0,0,0,0,0,0,0,0,0,0.00958783728165646,0,0.00377792609290649,0.0151526216667563,0,0.000325071030978924,0,0.0171687076542476,0.0116547452211934,0,0,0,0,0,0.0118577822094688,0.0133667472634683,0.00479821898413631,0,0,0,0,0,0,0.000351116764013211,0,0,0,0,0.0292679734219365,0,0,0,0,0,0,0,0,0,0,0,0.00333454422500592,0,0,0,0,0.000287678888413237,0,0,0,0,0,0.032763270411886,0.0218858914027486,0,0.0555214299776731,0.000977218750893034,0
"Neutrophil",0.0556799877912204,0.0305672550838671,0.0255037616885049,0.0582395492530492,0.0114320612594604,0.0185254185259886,0.0365915298283604,0.0341149770645707,0.0524260768615601,0.0522716932870794,0.0122378968255033,0.0960725694168454,0.0590160468055273,0.0652980083855447,0.0578936866330533,0,0.0489098174451683,0.0295090170677133,0.0163351481285862,0.0285985347301203,0.0502721690320926,0.0350243479814121,0.052355040098901,0.0442965277409175,0.00858002247060434,0.0362240350170443,0.0466539136699625,0.088210536159901,0.0332248534435593,0.0180815837670438,0.00289012744603375,0.0299282969713662,0.0238790350632878,0.0443742798621412,0.295801734028289,0.0490017694597314,0.0468780420651635,0.0226441065809163,0.0727937114495965,0.0583223509351377,0.0940994825330887,0.0590026398121243,0.00994854758725771,0.0568967967215436,0.0220077313237482,0.038404444645007,0.0308981424142387,0.0187175879330913,0.0426515343077095,0.0497790408810987,0.0146708742285719,0.0263248778339635,0.0306392821647956,0.0672164524491576,0.0395364222992048,0.0305598225525715,0.028618370797023,0.0356110128086554,0.0506479917047595,0.0256043795225883,0.04273922194257,0.00498612992641755,0.027960396565216,0.0427232866179671,0.0238759415362751,0.0443881383540749,0.0316049262284171,0.0404193243340201,0.0219524974163378,0.0324785943439909,0.0291538428576149,0.196153194531811,0.0732677948001264,0.0620422572852748,0.00642619149686718,0.0570707469014507,0.047894365091842,0.0198692659813616,0.0387977364231522,0.0330944914660679,0.0156806545865288,0.0279642726575322,0.165784880492953,0.066817704429391,0.0368727265689084,0.0121278189851286
"NK cell",0.0161519776241668,0.0093111351850667,0.00448448396678273,0.00989789378941192,0.0152101670170761,0.00755582626828111,0.00700210385348727,0.00232959782931408,0.00205221824817395,0.00933008661802466,0.00482266147038047,0.00325335227130777,0.0107044158838304,0.0074593284635464,0.00882933728160912,0.0147558110310605,0.0338287613942059,0.0052984354816671,0.00890297756261794,0.0101101390374258,0.00472288814274578,0.0115354539356415,0.0201067387402321,0.00824816247535283,0.0187598796139136,0,0.00348035516085945,0.0306181553587551,0.0151248497153487,0.00560148445711172,0.0169492545883628,0.00624587845919496,0.011990467196832,0.00378006784959915,0.0139412184736224,0.00977438907147112,0.0114950579786375,0.0101159162265456,0.00907539663963781,0.00235107638376696,0.0122755783018624,0.0262701737314676,0.00985732550314104,0.0124018785197634,0.0144810237555422,0.00713478222525254,0.0156107810869785,0.00247085057742434,0.00450410668606818,0.00487882376016514,0.000319329588075563,0.0138602785748205,0.0036655973971367,0.0140942161983964,0.005498943586655,0.00780954388623002,0.0032878179990142,0.0094282411358054,0.00680956704157146,0.00863145150344835,0.0160326030153831,0.0223957237022707,0.000575209310054353,0.0201593694105814,0.00256008771546808,0.0159715257080098,0.00373814134030586,0.00789836996391386,0.00957808189162673,0.017137881922387,0.00688241343866688,0.00180601478627203,0.00922493586076078,0.0051141011304563,0,0.00296192630904526,0.00849507402838664,0.00451124429872309,0.00193139269677266,0.0199092074266425,0.013154605204811,0.0148223642126776,0.0108268995079101,0.0128384483524343,0.0116711506827628,0.0139565947505924
"T cell CD4+ (non-regulatory)",0,0.0297089767136931,0.0345144707705079,0,0,0.0549866192318024,0.0438263153828554,0.000729055573731899,0,0.0537458504772329,0.00960965622207073,0.00301809922748153,0.0155975499851082,0.0172686614575254,0,0.0207219457055784,0,0,0.00801806897063749,0,0.0113748253993503,0.0883537668028296,0,0.0209398513104145,0.0310805203337033,0.116791788149425,0.0255975984571841,0.000369777321193195,0.0112679752542626,0.0387613321794447,0.01190192909711,0,0.0244106291105233,0,0,0.0039694941128848,0.00530203398648639,0.0653767081278387,0,0.0136796275881973,0.0421498787829461,0.0306946418122564,0.0106185384565924,0.04178529770162,0,0.069446533942978,0.00721065970859091,0.062148053809556,0.0239395905168367,0.0284925341507157,0,0.049664481437983,0.0422288143003668,0.0339524661114484,0.00827655830061066,0.0165297229426379,0.0873656788392573,0.0445307753616479,0.0733558440814252,0.0324544734630171,0.0103343197205499,0,0.0914200587754299,0.0506318261347733,0,0.0309206550594621,0.0436629048657765,0,0.00417047790791802,0.0714785567682358,0,0.00366896639638046,0.0199157879211954,0.0115009335913235,0.00936091115340722,0.0389239858938092,0.0214746347490083,0.0659757487885583,0.0379081492043564,0.0453704293184204,0.0309368182522454,0,0,0,0,0
"T cell CD8+",0.00123029870509772,0.00858421571445966,0.0037591396412049,0.0167084412133698,0.0135572852605273,0,0,0.035488156067518,0.0159162423127378,0.0183705339065089,0.00154979781220436,0.000467180378382616,0.000828627294923877,0.0099834946442785,0,0.000834841897963246,0,0,0,0.00678676310817557,0.00129403012167456,0.00336668955093625,0.0305944173822039,0.000127244383347514,0.0105344174661572,0.000799043795610179,0.00335557885294028,0.00120015489679101,0.000672002256199406,0.00333947530874927,0,0,0.00888994836869596,0.0127472485621278,0.0206023640258526,0.0376987784152304,0.00155275367416956,0.106650350784392,0.00555720022047711,0.000223940716639719,0.0026924709304346,0.00259458069604147,0.00366405544314209,4.95794607074189e-05,0.00541963429408035,0.0240279483977995,0.00247261030577204,0.00329410282263698,0.000154726722649631,0,0.0270023072699364,0.00164574163924168,0.00772917380986906,0.00122591900583526,0.0020406021146205,0.00579437491736771,0.00113902160147309,0.0047375390125339,0.00457107899130788,0.00103841854672691,0.000997755224767753,0,0.00278357639525963,0.0131524980916994,0,0.0166206483160819,0.00370692129335964,0.00938282240739246,0.00752113427288293,0.00074574814317744,0.00775317679160443,0.00176228989945889,0,0,0,0.00520810769537213,0,0,0.00365328396077213,0.00183810688745509,0.00486066730709601,0.000484878519465124,0.00149990975545786,0.00194706610755422,0,0.0217352163681434
"T cell regulatory (Tregs)",0.00633950284805295,0.00446973587705556,0.00638904337024133,0.00913153414109639,0.00900564380629021,0.00740729328346024,0.00330039694941584,0.00646118094576821,0.00605234605462027,0.0062986531280344,0.00794270299108466,0.00533733549834696,0.0101307678997437,0.00182929080964747,0.00386973320390569,0.0037656021418996,0.0237811871469979,0.00669077460141215,0.00561543435410274,0.0139986473702756,0.00561614258145515,0.0111352591859853,0.0245359514258688,0.00586350018474224,0.00500725143995576,0.0165191039503608,0.0104700552965238,0.0351987676450511,0.0140972069373903,0.00795241715603644,0.00715547834818749,0.0141563261168717,0.022775863000822,0.0100033564703454,0.0165031415856739,0,0.0134135214341008,0.0106505399467098,0.00854899665586114,0.00987325497420373,0.00636637538422754,0.0158515924581726,0.0108679270433998,0.00415190106000319,0.0107451034994335,0.00687398577496416,0.0064349575563986,0.0096457597207946,0.00622203454150662,0.0058746787012372,0.00128854403411923,0.00963189419056644,0.00579136499980444,0.0071267150482528,0.0127043427123254,0.00949458952174258,0.0098082020386404,0.00417611298989928,0.0121185197413496,0.0148937352328062,0.00772451072850127,0.00209928016970581,0.0169858723374615,0.00545108671329428,0.00259017141574191,0.00848660847706666,0.01158517017542,0.00707232048645016,0.00117573250847636,0.0100513378176583,0.00408425720839237,0.000572963052706948,0.00225492470388599,0.0159206950730106,0.00916617667271028,0.00825554251997389,0.00568694743561011,0.0137702843811962,0.00772387615034053,0.0125854186667179,0.00635619753053131,0.00854931460698524,0.0338436544607542,0.00898206478505318,0.0125721628023642,0.0214386952433342
"Myeloid dendritic cell",0,0.0088362182309864,0,0,0,0.00220765334672674,0,0,0,0,0.000937655671178537,0,0,0.008235061987972,0,0,0,0,0.00486954175277276,0,0.0032880594324814,0,0,0.00398911889991097,0.00842258626324438,0,0.00464778531925494,0,0,0,0,0.00802500049018828,0,0,0,0,0,0,0,0,0,0,0.00492059286136379,8.6087672541766e-05,0,0.00170945529553349,0,0,0,0,0.00488395063257367,0.00578509202323783,0,0,0,0,0,0,0.00436254035947627,0.00227263357817798,0.00334433777863714,0.0204318687505871,0,0.000553903383808572,0,0,0,0,0,0,0.00249312470092809,0,0,0.00313737822337245,0.00985976751972559,0,0.000483979340410318,0.00262969395846817,0,0.0100821367920761,0,0,0,0,0,0.0155628677971801
